dS,dNdS,host_pair
0.02795904043766984,0.13933312289119218,700013600-700013588
0.03043414148171326,0.13729616841339434,700013600-700015702
0.0418333523831295,0.13846403303128044,700013600-700016765
0.027424950540470797,0.14414206224283632,700013600-700023634
0.028882010465030583,0.14052031995050043,700013600-700023788
0.02924618078004344,0.13863894887583555,700013600-700024318
0.028391303099060804,0.1390342474119386,700013600-700024789
0.02719782011609621,0.13566280286999205,700013600-700033665
0.027823482183682507,0.13730774455372688,700013600-700037405
0.028053603851093945,0.13617304192112703,700013600-700038072
0.02741725849759978,0.1420322525225291,700013600-700038263
0.030027682787819573,0.1379384597549253,700013600-700038806
2.8576429446581722e-05,0.822831024906525,700013600-700095647
0.015083706282115033,0.1401453233124894,700013600-700098669
0.04309438500135373,0.1381385529196687,700013600-700098867
0.026444591598767744,0.13801480894639676,700013600-700099059
0.030289143168115484,0.14176223292160098,700013600-700100022
0.028097236507771538,0.1387165654757407,700013600-700105685
0.028176987599115706,0.14095995381357,700013600-700106754
0.04296861257889071,0.13925971420400368,700013600-700107398
0.026962994774890846,0.14050832352154866,700013600-700110089
0.04200079312995048,0.13657630190512926,700013600-700112433
0.028334281168789097,0.13887805101472558,700013600-700113762
0.02656750440026546,0.14273413908618607,700013600-700116358
0.029589376327059415,0.13698732981883358,700013600-700116568
0.029137010676156583,0.1389129102838133,700013600-700116668
0.04307220224228817,0.14046113129562182,700013600-700117172
2.1419315224492274e-05,0.5570196251949758,700013600-700117682
0.042343572080259705,0.13668258987036044,700013600-700161945
0.027309941520467836,0.13710948867333422,700013600-700164050
0.028837339717665837,0.1388910631538396,700013600-700164159
0.043076685349853205,0.1378204234347331,700013600-700164354
0.027586257081212456,0.13751184713344416,700013600-700164870
0.02750329085411563,0.1403606898250758,700013600-700165167
0.04305212311840036,0.13762517617792752,700013600-700165263
0.020682205148016195,0.13811708337183798,700013600-700171115
0.029414856786551966,0.14339405451641996,700013600-700171190
0.043263212639658544,0.14221570300338493,700013600-700172068
0.03000461720485961,0.1371856048200789,700013600-700173176
0.02569256750725683,0.14682808631719776,700013588-700015702
0.037517128077300295,0.14030072972993773,700013588-700016765
0.02161620397849042,0.1380805558418998,700013588-700023634
0.026157515804261296,0.14098506335415076,700013588-700023788
0.027299322206310442,0.14909093862953932,700013588-700024318
0.021940598283002436,0.13961212490600333,700013588-700024789
0.02716148112925479,0.1393252760944369,700013588-700033665
0.0221268941692065,0.13721292837202975,700013588-700037405
0.02633969447691567,0.14230989360299226,700013588-700038072
0.021453575657421512,0.13884844275394037,700013588-700038263
0.025646187583132616,0.1444119830016195,700013588-700038806
0.02736983129582572,0.13839687036014897,700013588-700095647
0.02763362936290603,0.13692159519379385,700013588-700098669
0.038203202296512036,0.14266830883775009,700013588-700098867
0.026406046726660862,0.13911112531061362,700013588-700099059
0.0235279944156447,0.14504755462611643,700013588-700100022
0.005207711905447042,0.13695462267418831,700013588-700105685
0.004404189590543616,0.13727017085072651,700013588-700106754
0.03817858512604163,0.14180288423158743,700013588-700107398
0.027256608122041105,0.13464564626843079,700013588-700110089
0.037898249700172075,0.14216519415921083,700013588-700112433
0.027635062611806798,0.14040734619378104,700013588-700113762
0.026725355394177485,0.14432975390926275,700013588-700116358
0.02524911241968873,0.14473713875119745,700013588-700116568
0.023176197342159654,0.14232080646857914,700013588-700116668
0.0385052146106633,0.14348511797193939,700013588-700117172
0.02781853309897006,0.14021904134790944,700013588-700117682
0.03817505307930012,0.14096354092638744,700013588-700161945
0.025981454845408685,0.13970578554698337,700013588-700164050
0.025844987302836298,0.13809089422276033,700013588-700164159
0.03755515652621762,0.14069664933772158,700013588-700164354
0.02665856419939304,0.1364741101449967,700013588-700164870
0.0216520530709876,0.13762347796084395,700013588-700165167
0.03732750641957954,0.13636034985229123,700013588-700165263
0.028289374637062954,0.14269400720786823,700013588-700171115
0.028036273772738554,0.14038414188304568,700013588-700171190
0.03865900682426627,0.1441424887502006,700013588-700172068
0.026075581916247065,0.14428149204601115,700013588-700173176
0.03816113496964935,0.14266740632155644,700015702-700016765
0.026317841270741337,0.1417444651676497,700015702-700023634
0.02716301454770846,0.14396056284658845,700015702-700023788
0.01636348741037304,0.13957347954465787,700015702-700024318
0.027872784298142286,0.14093121781164702,700015702-700024789
0.0279967888987643,0.13786410823459966,700015702-700033665
0.026772113153286543,0.13663577644409705,700015702-700037405
0.019697349121740065,0.13751934172400296,700015702-700038072
0.02526446198716129,0.13565520342819243,700015702-700038263
0.006203652637606219,0.15529571817104826,700015702-700038806
0.03027797721355583,0.13866079396545786,700015702-700095647
0.02796108322861722,0.1354610943367503,700015702-700098669
0.038177690454535985,0.1399578161100201,700015702-700098867
0.027408141577721402,0.14110527288307873,700015702-700099059
0.028182557358503908,0.14421635416775477,700015702-700100022
0.025517595593574555,0.14382604269903893,700015702-700105685
0.02568106030633584,0.14970668332919423,700015702-700106754
0.03821068901226097,0.14053206086238942,700015702-700107398
0.02732436239015443,0.13748853158873384,700015702-700110089
0.03836224325809495,0.1410007638590166,700015702-700112433
0.027654682497094872,0.13782285913736847,700015702-700113762
0.029664045746962117,0.14208641553665574,700015702-700116358
0.006586751140819715,0.16100185059618025,700015702-700116568
0.02769841859872341,0.14616694340787117,700015702-700116668
0.03924951925575594,0.14592153919260203,700015702-700117172
0.030277495488392783,0.1381191327485145,700015702-700117682
0.038577632780531335,0.14317667094835917,700015702-700161945
0.02705282864475495,0.14081110805238928,700015702-700164050
0.02053164825078547,0.14117778030051398,700015702-700164159
0.038226876477285704,0.14195362886926888,700015702-700164354
0.027469978313175016,0.13918986036620629,700015702-700164870
0.02595285102099409,0.1380883633051815,700015702-700165167
0.03839337634646803,0.1407712194042862,700015702-700165263
