dS,dNdS,host_pair
0.017972332406496167,0.15380568387680726,700013597-700013672
0.019963163210742083,0.14787687056514565,700013597-700013715
0.016601416254840295,0.14650438833953833,700013597-700014386
0.01624363726003226,0.1546221341349959,700013597-700014562
0.015741800070537028,0.15427748261295385,700013597-700014724
0.014964883151206244,0.1608824764766727,700013597-700014954
0.019164709556259974,0.14387665207845066,700013597-700015181
0.020551681558883105,0.14938937279551726,700013597-700015250
0.019398227668538125,0.14541678125925014,700013597-700015415
0.016014219372151986,0.1492272017323635,700013597-700016610
0.01953329558372112,0.1401641808951779,700013597-700016716
0.016448435392730935,0.16002137760690924,700013597-700016902
0.01652137634219714,0.1362835811722086,700013597-700016960
0.019782125859333685,0.14557219169505994,700013597-700021261
0.014888933703482808,0.15537019884803713,700013597-700021295
0.016725692687717626,0.15436080774878116,700013597-700021361
0.019761338560747264,0.14158984705672129,700013597-700023066
0.020033914305193783,0.14144641047490616,700013597-700023113
0.017998498703425687,0.15483744409189634,700013597-700023188
0.015485221030604238,0.15762433185352337,700013597-700023267
0.005439842124455694,0.1472776205792713,700013597-700023337
0.016032613501706726,0.15922663733211764,700013597-700023578
0.01580139342703525,0.15622409955352629,700013597-700023788
0.01615334912771915,0.15381168688214508,700013597-700023845
0.020377422357620377,0.1498117251030137,700013597-700023919
0.016867615039716347,0.14270618903028082,700013597-700024024
0.016077571916348402,0.15645356268772484,700013597-700024086
0.019986992726979038,0.14780141403234323,700013597-700024318
0.015902764971029347,0.1512934097411796,700013597-700024349
0.020135006810496327,0.1469884983426264,700013597-700024437
0.015950883574774036,0.15218829866678232,700013597-700024449
0.01935988049030063,0.1490745255194093,700013597-700024545
0.01477167691513229,0.1675324320774322,700013597-700024615
0.016193499466642676,0.15093525311897907,700013597-700024673
0.015853474157109224,0.15511585265772798,700013597-700024711
0.019927442342575798,0.1490309578189255,700013597-700024752
0.015917360787762774,0.15720417453304716,700013597-700024866
0.015249374435026398,0.15606457828515302,700013597-700024998
0.019861519893281384,0.14754131221721103,700013597-700032133
0.017051531569442252,0.14531782410810876,700013597-700033435
0.020033460231831605,0.1449649526540107,700013597-700033665
0.020546295818497685,0.1523255135020905,700013597-700033797
0.016140220861644787,0.14889991882389847,700013597-700033922
0.01970702737231003,0.1418627213692841,700013597-700034166
0.019349808930222253,0.1461688484527761,700013597-700034565
0.020241871781766264,0.1490434585891813,700013597-700034622
0.01444317749904979,0.15196001776599258,700013597-700034926
0.016979669193659546,0.1532264111388366,700013597-700035157
0.020087993015878505,0.15091676270442644,700013597-700035533
0.01967930664667056,0.1409823656332844,700013597-700035861
0.02100132844825398,0.1511628589428572,700013597-700037008
0.018965597386736758,0.1451336796918934,700013597-700037090
0.015463217942936699,0.1533201517748722,700013597-700037284
0.0194875404400385,0.14451229993694822,700013597-700037357
0.01971655828173174,0.14803997050487944,700013597-700037632
0.018970540069986726,0.14604944374575968,700013597-700037649
0.01947340732883151,0.14459332374979655,700013597-700037738
0.020464390845870057,0.14258952544426098,700013597-700037757
0.02070498845165886,0.14974570072770674,700013597-700037852
0.019915049469695044,0.1524649189908536,700013597-700037916
0.017051570708695184,0.15560031141227754,700013597-700037967
0.015457195957215453,0.15757138250707184,700013597-700038053
0.01992492698772862,0.14612476066579358,700013597-700038158
0.014655035413472153,0.14714691517372547,700013597-700038167
0.01648117955624867,0.15052401092081885,700013597-700038263
0.020018354446664895,0.15167823794933508,700013597-700038284
0.020428930250531333,0.1480283981526164,700013597-700038493
0.01970679713137579,0.14364501949101435,700013597-700038594
0.015193087884229888,0.15246045346774517,700013597-700038761
0.020840563689259656,0.15235561596505254,700013597-700038870
0.015741800070537028,0.15319883324459102,700013597-700038956
