dS,dNdS,host_pair
0.010824853864472829,0.13703494698508625,700013588-700013715
0.010362026924392292,0.13404502494405887,700013588-700014386
0.010799073986039034,0.13584656306595427,700013588-700014562
0.008238905944739045,0.13150589657072145,700013588-700014724
0.006834774732982096,0.13862270803558122,700013588-700014837
0.007681262983701652,0.13494555576519637,700013588-700015250
0.009611321180528667,0.1355593355827049,700013588-700015702
0.007090717626428303,0.14246437338498386,700013588-700016765
0.010855274097888144,0.12865408097477063,700013588-700016902
0.009000307230526779,0.13397517335963918,700013588-700021361
0.010786725048804967,0.13573626148256746,700013588-700021902
0.010727667650220525,0.13634374122414886,700013588-700023267
0.010859303320287395,0.1350062408409358,700013588-700023337
0.010757387151168437,0.13524624992441037,700013588-700023919
0.010956362310997227,0.13865972089847645,700013588-700024437
0.0065113091158327625,0.14114833776585534,700013588-700024615
0.010237624375633214,0.131562975107236,700013588-700024866
0.010632393358432022,0.1298842510206424,700013588-700024998
0.0045407377690319895,0.13618576608552796,700013588-700033665
0.00988250011169191,0.1369402263973351,700013588-700033797
0.01089576619133813,0.13710083995627834,700013588-700034166
0.010438705351890044,0.1333292016515101,700013588-700034926
0.010967239793391353,0.13360376314207265,700013588-700035373
0.010995412671304942,0.13929976970900992,700013588-700035533
0.009182646271698298,0.1358049756828631,700013588-700035747
0.010992363711934629,0.1381913404369116,700013588-700035861
0.010610904615165862,0.13090106021450956,700013588-700037008
0.010626097236067859,0.13391031325904787,700013588-700037090
0.006510502875656016,0.13841690608746549,700013588-700037405
0.010954921737897293,0.1345342316196437,700013588-700037632
0.004853990626008929,0.1374973453863434,700013588-700037649
0.010290504790978261,0.133384954685541,700013588-700037738
0.0063529448223499695,0.1360390634684548,700013588-700037852
0.00963966856062732,0.14158675075235994,700013588-700037868
0.006760817307692308,0.13784156325990235,700013588-700038072
0.010606553880350708,0.1335872096639664,700013588-700038386
0.010797175239832918,0.13049902331885196,700013588-700038472
0.010371555335584112,0.13916115675647947,700013588-700038546
0.011222765045698675,0.1372196810718588,700013588-700038702
0.010252091528616544,0.13839530037244988,700013588-700038806
0.010488547836103776,0.13325858477946154,700013588-700038870
0.0062754428521202285,0.13596145778872393,700013588-700095058
0.009236703884888245,0.1371957495021977,700013588-700096865
0.010030117062551335,0.1397762598338635,700013588-700097291
0.00921400723264265,0.13465392855526878,700013588-700099886
0.010340053550686996,0.13591259620279514,700013588-700100022
0.010795122728157573,0.13505931881475905,700013588-700100600
0.01113891783886407,0.13936055530298488,700013588-700101243
0.010367272275205569,0.13214564909094198,700013588-700102299
0.01063693620927841,0.13489917830128254,700013588-700102586
0.010592854581752667,0.13468403744115873,700013588-700102659
0.010883356981611716,0.13259256073720058,700013588-700103477
0.010614918753685736,0.13444639117217874,700013588-700105049
0.011060985429236387,0.13508590919451205,700013588-700105613
0.0044464860718395165,0.1397329265963943,700013588-700105685
0.00899276208471385,0.13437998490762776,700013588-700106229
0.01040063677368002,0.1371059696557237,700013588-700106325
0.01011913321460571,0.1359725045661054,700013588-700106754
0.01102165488139693,0.13970942925688942,700013588-700106836
0.01080379721696302,0.13248392100968595,700013588-700108218
0.010947245752424506,0.13519307643577863,700013588-700111156
0.007792518650183288,0.13384374686431785,700013588-700112490
0.006758634685207325,0.1371402202675287,700013588-700113114
0.010786647879111802,0.13607452154184926,700013588-700113867
0.010162769009564043,0.1357161452568441,700013588-700113975
0.009366801562165017,0.13884772994476183,700013588-700114000
0.010567967532094736,0.12948885812486646,700013588-700114082
0.006176570503346378,0.13462021781811243,700013588-700114218
0.010496980335983569,0.1331262883510895,700013588-700114480
0.010836344657682084,0.13166372485795227,700013588-700116201
0.010784541126832125,0.13625560194887787,700013588-700116296
0.009189563407546553,0.134938731223546,700013588-700116668
0.010692967894606718,0.13182803270209686,700013588-700116730
0.01088526438158312,0.13133315755825084,700013588-700116778
0.01024053186427274,0.13097966255024096,700013588-700117682
0.007292752911989422,0.14970652728133993,700013588-700122408
0.011078045248229456,0.1359619382640023,700013588-700161429
0.010529844853521785,0.13022502802220748,700013588-700161533
0.010688101757795249,0.13446751522732248,700013588-700161743
0.010513998057052018,0.1356649292588807,700013588-700161872
0.010485228669333574,0.13650136224806061,700013588-700161967
0.010871107327800241,0.12883375384492832,700013588-700164050
0.009427621338616103,0.13513708700438687,700013588-700165148
0.010079058871778412,0.13981218855004454,700013588-700171648
0.010773483102409904,0.13608708872682632,700013588-700171859
0.010691009090889027,0.13579133652381367,700013588-700172279
0.010874462239732865,0.13844437671415213,700013588-700172393
0.01088465449400946,0.13674673395461784,700013588-700172498
0.011005158392205488,0.1380016048383677,700013588-700173546
0.009452827562129472,0.13496720750630703,700013588-700175331
0.00713347765908365,0.14294783460813099,700013715-700014386
0.0011166773332156334,0.1682840120446408,700013715-700014562
0.011143143617033155,0.13647255567443375,700013715-700014724
0.010803666350601959,0.13528766416587348,700013715-700014837
0.010660367760570794,0.13297021798960812,700013715-700015250
0.008637513951972063,0.13999656391618914,700013715-700015702
0.011277495067218271,0.13347102809769157,700013715-700016765
0.007476767981006883,0.14672135536313663,700013715-700016902
0.008583349715176802,0.14381154285442513,700013715-700021361
0.0005062611294905912,0.19446117462385643,700013715-700021902
0.00014996339128977337,0.30885222556171343,700013715-700023267
0.0005874623173842468,0.157845521008187,700013715-700023337
0.00043591019369383253,0.1632317501386196,700013715-700023919
0.0005461195781666677,0.2300478794729793,700013715-700024437
0.010695282330539391,0.13331735507782264,700013715-700024615
0.007846047818480624,0.14908801959754392,700013715-700024866
0.007389255755050623,0.147917229498803,700013715-700024998
0.011326327773258302,0.13533558488242356,700013715-700033665
0.008632406339060745,0.15413797065730075,700013715-700033797
0.00013657530806543278,0.2881177401579163,700013715-700034166
0.000106198214542518,0.22549476673789087,700013715-700034926
0.007243416330812124,0.146307954950273,700013715-700035373
0.0001457127339682876,0.23443337775579884,700013715-700035533
0.011253911638267763,0.13201963629336358,700013715-700035747
0.00014118778637405499,0.26680718049095314,700013715-700035861
0.007478336125689305,0.15035783937368127,700013715-700037008
0.00015846011976944054,0.3046362599246559,700013715-700037090
0.01107732502460402,0.1405733090369509,700013715-700037405
0.008023823493595775,0.15395203021987594,700013715-700037632
