dS,dNdS,host_pair
0.07064532370940327,0.07607085839241126,700013588-700013693
0.020044606627432508,0.1100295240875593,700013588-700014562
0.017519677998883012,0.10705346765627333,700013588-700015181
0.018782370706456053,0.10640626315848838,700013588-700016456
0.018855839354541472,0.10881798251345647,700013588-700016960
0.020154415104132874,0.10243182748751621,700013588-700021876
0.0003932842558895702,0.11833008688625851,700013588-700023113
0.018820510378175156,0.1071898260691152,700013588-700023845
0.019245145153584577,0.10533385245140219,700013588-700024086
0.01884371183425383,0.10492975393159623,700013588-700024234
0.02328643784955319,0.10506870170479728,700013588-700024545
0.01887528011420526,0.11044324931906581,700013588-700024752
0.01892024594645866,0.10514867795697923,700013588-700024789
0.01863687243053084,0.10189670403674272,700013588-700024866
0.022349837916673786,0.09981551375306483,700013588-700032222
0.018739383378914457,0.10414140816997788,700013588-700033502
0.025645880950412453,0.0951254474167665,700013588-700033726
0.02223055678679805,0.10688432056800266,700013588-700033797
0.01981338077479655,0.10280130466904816,700013588-700034565
0.020582276894801695,0.10495729059689525,700013588-700034794
0.02057303166480505,0.10318846497546444,700013588-700035861
0.08118531873979913,0.07883607463582562,700013588-700037123
0.019532829460980995,0.1046353619553723,700013588-700037632
0.018300828959356957,0.11028420149161286,700013588-700037738
0.018666100870429213,0.10346530091872573,700013588-700038158
0.02318157941826704,0.10910092146452838,700013588-700038263
0.021119214593532953,0.10504697434435194,700013588-700038594
0.0690714895747943,0.07627724899578293,700013588-700096047
0.019020744863678194,0.11105531665459792,700013588-700098867
0.025436896314212944,0.09407283336211988,700013588-700100540
0.02024929010361494,0.09840368830973822,700013588-700101366
0.02631048255090683,0.10064777736539457,700013588-700101638
0.019072507030178768,0.10399721350305398,700013588-700102432
0.0199640688180505,0.10280667824041514,700013588-700105153
0.06712216592456113,0.0871252983430459,700013588-700105685
0.020275978597578147,0.10389787335096033,700013588-700106056
0.018424901702343014,0.10842574497736203,700013588-700106465
0.024229676414705147,0.09656323786864546,700013588-700106646
0.016809361673994248,0.10569279008284718,700013588-700108840
0.01997798070073182,0.10190932952545209,700013588-700113762
0.019645307443365696,0.10374912022575582,700013588-700113975
0.023343100121489317,0.10452431922797942,700013588-700116401
0.06982472761724301,0.07636800072549702,700013588-700116611
0.018817002967435686,0.10275504060641846,700013588-700122860
0.026687979067424206,0.10041044817590819,700013588-700123562
0.02074767570379039,0.10492346429635416,700013588-700124561
0.02087133297568964,0.1064858096578292,700013588-700163419
0.019744039895173395,0.10829772027707395,700013588-700163521
0.02051068229004538,0.10568386603383652,700013588-700164192
0.020487343269458246,0.09950827231552234,700013588-700165224
0.018997399595492633,0.10352554711426307,700013588-700173086
0.0710013721512946,0.07758163986383648,700013693-700014562
0.07133109631833665,0.07746746071251769,700013693-700015181
0.0703326174328521,0.07589650741214851,700013693-700016456
0.07034064430225247,0.07819160514168133,700013693-700016960
0.07153589173972766,0.07759810319633152,700013693-700021876
0.07015722500246749,0.07637352229031379,700013693-700023113
0.07089731947543924,0.07731429433559366,700013693-700023845
0.07082371054657428,0.07808676652436737,700013693-700024086
0.07206963759132841,0.07760860210668671,700013693-700024234
0.06880809869320041,0.07771258365819703,700013693-700024545
0.07018747648243653,0.07711798106031104,700013693-700024752
0.06989907854322071,0.07682341885858038,700013693-700024789
0.07079873067314833,0.07690960891268628,700013693-700024866
0.06508604837922831,0.07830625528932697,700013693-700032222
0.07149723907859097,0.07679228458805942,700013693-700033502
0.06450108418345149,0.07672062881907551,700013693-700033726
0.06986379231238059,0.07615499926904767,700013693-700033797
0.07107848956513776,0.07594582164402343,700013693-700034565
0.07111745268849505,0.0783510005309102,700013693-700034794
0.07072434266327396,0.07611388544897034,700013693-700035861
0.06309545209419377,0.08233180441895406,700013693-700037123
0.07154019559653553,0.0771154246025999,700013693-700037632
0.07006796703377711,0.07608540859426417,700013693-700037738
0.07087237961107198,0.07613175531969874,700013693-700038158
0.069557964970809,0.07862850257560412,700013693-700038263
0.07059580883972284,0.07743844976964598,700013693-700038594
0.01657276145235331,0.10110483684476763,700013693-700096047
0.07009289639375543,0.07650257423994967,700013693-700098867
