dS,dNdS,host_pair
0.011357211119512363,0.13573371414221372,700014724-700015113
0.011780738005086935,0.13927359330563335,700014724-700015922
0.01133748817614029,0.1336474511613987,700014724-700023113
0.012070412213875661,0.1425124758043782,700014724-700023390
0.011011242057242165,0.13627697833941144,700014724-700023845
0.011742479290800755,0.13622753389351228,700014724-700023919
0.011305672122207665,0.1330104029719873,700014724-700024233
0.011522319216677812,0.13549938032536757,700014724-700024545
0.011455110425040204,0.13493625864484005,700014724-700024615
0.011855769593411884,0.13761376670118516,700014724-700024930
0.011890132518516058,0.13555808515452958,700014724-700034254
0.014453388939353938,0.12929564294892593,700014724-700035747
0.011803985778649856,0.1382400420555478,700014724-700037008
0.011287465473049629,0.13619849130128595,700014724-700037123
0.011202259070527243,0.1350524786171045,700014724-700037284
0.014593898684578785,0.1312706688595603,700014724-700037738
0.011059474608439613,0.13351263399647775,700014724-700037868
0.011705278443074008,0.13445385818409758,700014724-700038072
0.011497242276131116,0.13450319649071862,700014724-700098267
0.014052032956174285,0.13231475076376262,700014724-700099512
0.01168772432476991,0.14030230488332346,700014724-700100540
0.015291139932611454,0.1330846565090163,700014724-700100600
0.011800440836514166,0.13683570295789316,700014724-700101534
0.013843771415348743,0.12959449179161425,700014724-700103479
0.011421381858275279,0.13359414123415522,700014724-700105237
0.011222168425381202,0.1331617048345991,700014724-700106333
0.011603578285489562,0.1353208859458102,700014724-700106504
0.014945800819406767,0.13142706245580935,700014724-700107059
0.014720008538494379,0.12978123930946459,700014724-700107398
0.011884715599907829,0.1391899229113703,700014724-700111439
0.011481619899115659,0.1313896321208331,700014724-700112433
0.014904008271568271,0.12862286101158818,700014724-700114125
8.847600088476001e-06,2.8633878697211865,700014724-700116468
0.011428268391955135,0.13445494528442245,700014724-700117766
0.012140138050198436,0.1327782527032465,700014724-700122042
0.011899915447969185,0.1342531024385582,700014724-700161219
0.01171135787481701,0.13911033701575926,700014724-700161856
0.01099463621998175,0.13584568894732899,700014724-700161967
0.011775137435715552,0.13892034396915703,700014724-700163181
0.012211353413930332,0.13437988408838994,700014724-700163868
0.01149564267225551,0.13887660019326967,700014724-700164870
0.013843713878659175,0.13142588287777315,700014724-700165224
0.01178143047534429,0.13500949288110986,700014724-700165634
0.011324122634548515,0.13953030434091482,700014724-700165778
0.011375113427850969,0.13737298391201846,700014724-700171324
0.0010495377498860841,0.13995777663605216,700015113-700015922
0.011596459056188077,0.12817844223318484,700015113-700023113
0.0006895526311820009,0.13480428364497898,700015113-700023390
0.01205824072447298,0.1357264381894524,700015113-700023845
0.012030495297586699,0.13183162277820085,700015113-700023919
0.011631582821979621,0.13240584671032815,700015113-700024233
0.011954136743344163,0.13152739319964088,700015113-700024545
0.0007624559746656674,0.15014441502843898,700015113-700024615
0.011528488710875815,0.1321213137166841,700015113-700024930
0.011835981556783759,0.13308004398597975,700015113-700034254
0.014285495250215203,0.13178211437769966,700015113-700035747
0.011276671009378531,0.13319842395447895,700015113-700037008
0.011285629171667632,0.13494275201816078,700015113-700037123
0.012076954875908206,0.13057444880324062,700015113-700037284
0.014006547491223995,0.1297798144558132,700015113-700037738
0.01113488323747488,0.1313041229605411,700015113-700037868
0.011653731343283583,0.1331736259874687,700015113-700038072
0.011315590685657358,0.1343129290336247,700015113-700098267
0.014121456053398974,0.1306924618389214,700015113-700099512
0.011517308595993526,0.1365603115915749,700015113-700100540
0.015098913929951378,0.13415552560855942,700015113-700100600
0.01179848055176277,0.1284416278198913,700015113-700101534
0.013612888373446614,0.12640289524670764,700015113-700103479
0.011661908845206178,0.13581620023537352,700015113-700105237
0.011770266158218792,0.13297600234800055,700015113-700106333
0.011737053736194717,0.13475248988783753,700015113-700106504
0.014897489836179929,0.12894380647980452,700015113-700107059
0.014767387600516555,0.13266201337142958,700015113-700107398
0.001164581203659373,0.14874193312963302,700015113-700111439
0.011692018082042736,0.1336472920238173,700015113-700112433
0.01479543250539485,0.1286340215287475,700015113-700114125
0.011523310679191377,0.139903043675122,700015113-700116468
0.011327900887337858,0.13191094220357003,700015113-700117766
0.01241585213211133,0.13013179381125356,700015113-700122042
0.011972372796278963,0.13208499558586814,700015113-700161219
0.0011651414038214899,0.13540046685911583,700015113-700161856
0.011841339092497153,0.1328788747689943,700015113-700161967
0.011195168674307608,0.13067813918095345,700015113-700163181
0.011855982019363762,0.12860171286821528,700015113-700163868
0.011631543837009657,0.13956726699771055,700015113-700164870
0.013729586273041399,0.13029244455821581,700015113-700165224
0.011747819846464998,0.1340954305452551,700015113-700165634
0.011810709440587343,0.13429083119168997,700015113-700165778
0.01196556252736028,0.1273117706908957,700015113-700171324
0.011787516588574735,0.12921846580326335,700015922-700023113
0.0013073502857401738,0.1573133709260699,700015922-700023390
0.012185600170838645,0.13683085928662567,700015922-700023845
0.012141972382365085,0.13232688918494354,700015922-700023919
0.011542128987517337,0.13040307454279837,700015922-700024233
0.012024465814517512,0.13061894837095644,700015922-700024545
0.0011358389709819154,0.13570748280621414,700015922-700024615
0.011501976970033296,0.13196419846666305,700015922-700024930
0.011501039159329833,0.12840597859304725,700015922-700034254
0.014137589510311762,0.13021561298869735,700015922-700035747
0.01170792800768724,0.1368065928875142,700015922-700037008
0.011627027435894666,0.13789051924617216,700015922-700037123
0.012095612524504229,0.12854076209689447,700015922-700037284
0.014302563675346712,0.1321755999610792,700015922-700037738
0.011258703059835434,0.1312674448191274,700015922-700037868
0.011800551127028694,0.1334157240599261,700015922-700038072
0.011427569120129799,0.1327694760568426,700015922-700098267
0.01409453903179925,0.1307254999084681,700015922-700099512
0.011723538749300485,0.1379661495983623,700015922-700100540
0.014791105722080563,0.13064914721178503,700015922-700100600
0.011715756049490857,0.12743612860990078,700015922-700101534
0.013744464276785074,0.12665164686067815,700015922-700103479
0.01144620198157483,0.1305581638705712,700015922-700105237
0.011671697322337192,0.1303384929779176,700015922-700106333
0.011771645631980502,0.13303684284528658,700015922-700106504
0.014692314235796812,0.12577037448478165,700015922-700107059
0.01471438193946505,0.13050676328770347,700015922-700107398
0.00044043257387500783,0.24296819814803958,700015922-700111439
0.011452798264360837,0.12997947419756187,700015922-700112433
0.01466039092918371,0.12538518484108557,700015922-700114125
0.011671685115785368,0.1400785582628548,700015922-700116468
0.011811193643116256,0.13875398376178702,700015922-700117766
0.012093119212696238,0.12544663493767289,700015922-700122042
0.011822478507576655,0.13135505483067197,700015922-700161219
0.0002218775627402314,0.2089335523339102,700015922-700161856
0.011724859530091994,0.13074514648082117,700015922-700161967
0.011817933616755724,0.13458708756105953,700015922-700163181
0.012220109089571583,0.13126789261471947,700015922-700163868
0.011539311799996935,0.1377646958637555,700015922-700164870
0.013972213451215661,0.13023987362497544,700015922-700165224
0.011792232101076276,0.13312795125060775,700015922-700165634
0.01162911207648527,0.13208422718508236,700015922-700165778
0.011818332360093083,0.12398104739273819,700015922-700171324
0.012153437143942271,0.1353551372283769,700023113-700023390
0.011723514439086197,0.13426433506515775,700023113-700023845
0.01157117491759417,0.13243467285787558,700023113-700023919
0.0113782748811832,0.12773080707694529,700023113-700024233
0.011809132689706226,0.13349059661305615,700023113-700024545
0.011695055078371427,0.1305783143564748,700023113-700024615
0.012129931496904821,0.13512714169908707,700023113-700024930
0.01158221484613392,0.1320315170888823,700023113-700034254
0.014470314086230987,0.1243326853925796,700023113-700035747
0.01176906336227018,0.13318643780029374,700023113-700037008
0.011480336031234235,0.133802027199,700023113-700037123
0.0117772219120511,0.13388169011848283,700023113-700037284
0.014963037074092602,0.12928276850858958,700023113-700037738
0.011711769140983059,0.13603475021165093,700023113-700037868
0.011696963949798325,0.1333932638880151,700023113-700038072
0.011670530909123244,0.13560132441104064,700023113-700098267
0.014631048986319136,0.1313477636467365,700023113-700099512
0.011792801928204857,0.13644801131753378,700023113-700100540
0.015556385108765738,0.12888840550606667,700023113-700100600
