dS,dNdS,host_pair
0.0014373135303469152,0.13899848445081528,700014562-700014724
0.001404433376286794,0.1392357378715881,700014562-700016000
0.019202341311911127,0.09194244246763839,700014562-700016456
0.007911715541302029,0.09937595235864301,700014562-700016765
0.01917724471901797,0.09811214304620013,700014562-700021876
0.001564619503197422,0.14902375482915586,700014562-700023113
0.018722025125272376,0.09498736754900075,700014562-700023267
0.016256929476421884,0.09509809725759766,700014562-700023337
0.01783245440471558,0.11145387285213913,700014562-700023845
0.01882177880848167,0.10946141286078541,700014562-700023872
0.006526528021506179,0.10378882981533738,700014562-700023919
0.01221320903202373,0.09000890232886224,700014562-700024086
0.016728579988016776,0.09774524200975984,700014562-700024233
0.01490577135352461,0.09412572111072433,700014562-700024449
0.014796747967479675,0.09280617642614739,700014562-700024545
0.015514666207899656,0.08921970211539684,700014562-700024673
0.015583523312825958,0.09526772295069345,700014562-700024789
0.017082043158824795,0.10055495032754154,700014562-700024930
0.015598307655464197,0.0904053809953052,700014562-700033797
0.00853740732419681,0.09838351762324447,700014562-700033922
0.015949291054802965,0.09058870226673768,700014562-700034166
0.022462057828472888,0.08706705233094515,700014562-700034622
0.01756587202007528,0.09331770555549514,700014562-700034794
0.01468272274628955,0.0952092788410837,700014562-700035747
0.016267136888592354,0.1096424009279253,700014562-700035785
0.015323091852466329,0.10101241425925463,700014562-700037042
0.018893258650141024,0.10369997098030796,700014562-700037090
0.01680452080039828,0.1025632500940115,700014562-700037632
0.01614142966948501,0.09523541203568296,700014562-700038167
0.019231383573459413,0.0962100081772016,700014562-700038546
0.016598905144540127,0.10250794143510542,700014562-700038594
0.017152213737982914,0.09604129031084942,700014562-700038702
0.001394183640126348,0.1394389372547134,700014562-700095213
0.01667519816340143,0.09695940906659672,700014562-700095410
0.017282889079965606,0.10667451266938781,700014562-700096380
0.007140899540180883,0.10443902079145274,700014562-700096865
0.01758217498600522,0.0987805944901207,700014562-700097234
0.017956705807173096,0.09642626226267653,700014562-700097482
0.01825914732780456,0.10132573327626997,700014562-700098867
0.018326316133033062,0.09758824104788515,700014562-700101534
0.0012905845332869302,0.12984076960740676,700014562-700102043
0.017961097857858183,0.10049078481931009,700014562-700102242
0.015256291437941114,0.10165482332257132,700014562-700106056
0.015857237897702815,0.1039956870218287,700014562-700106065
0.001435011378625578,0.12288549546646126,700014562-700106170
0.01570353250330455,0.09299743269516575,700014562-700106325
0.015772625559423173,0.09824691099520624,700014562-700106754
0.0190447519983522,0.09482473523334078,700014562-700107930
0.01828471919895516,0.0914505448434452,700014562-700108840
0.017615741308668026,0.10555862346451,700014562-700109231
0.018927149945087898,0.0897160163603014,700014562-700111223
0.01745486976533074,0.1041376856556804,700014562-700111745
0.018607872924915187,0.09442333099588936,700014562-700113975
0.0013212533031332577,0.13499338769282326,700014562-700114082
0.017225058580717247,0.09762642932104959,700014562-700114218
0.020059393735641844,0.09680814299054451,700014562-700116201
0.017745830291458414,0.10135655813419846,700014562-700116401
0.0012454292024184498,0.11533798407987457,700014562-700116468
0.0185849518782496,0.09411451792643191,700014562-700116730
0.0015778350366231434,0.14224609201849253,700014562-700117239
0.016544507553439704,0.09500705083450556,700014562-700117682
0.015115309808280077,0.09556595580478275,700014562-700117766
0.016285658839510966,0.0889376653267433,700014562-700121919
0.015281547609708646,0.10215220008873935,700014562-700122108
0.017335424266184844,0.10287533870464208,700014562-700122408
0.0013799214171066679,0.12819935750403139,700014562-700122765
0.015779429333912586,0.09060023227964893,700014562-700122860
0.0012746049448878203,0.13968657973392537,700014562-700123135
0.014737431209775208,0.09273489971172065,700014562-700123959
0.00650581195815987,0.101398976291153,700014562-700161342
0.017954897297987455,0.09682693422999092,700014562-700161743
0.019446814840331002,0.08850051674091544,700014562-700161856
0.0013775303056667246,0.12949136410610612,700014562-700161945
0.015297850388264408,0.0956863081911854,700014562-700163030
0.01617794184937297,0.09512283044396656,700014562-700163419
0.01633287347573062,0.10167908689019249,700014562-700164354
0.0012700006645352314,0.13125747367189802,700014562-700164641
0.015639784483769813,0.0967793145730021,700014562-700164792
0.018170163262399,0.09510701930224655,700014562-700171066
0.014890374943746594,0.10070054302613506,700014562-700171324
0.0015628455584224105,0.15006772950205338,700014562-700171441
0.006527553225245917,0.10241740937695497,700014562-700171648
0.016959409014106645,0.09892234946960274,700014562-700172132
0.01796859471278076,0.10663453934490316,700014562-700172393
0.01992895151899294,0.07768869567746602,700014562-700172461
0.010910616869492237,0.084163043123736,700014562-700172621
0.007190240527083741,0.10498469275578479,700014562-700172813
0.017542381449900578,0.10063467873183232,700014562-700172927
0.016628588925265562,0.0983316371846575,700014562-700173023
0.04384422446957593,0.07425577346053805,700014562-700173176
0.015801249184301296,0.0910400037507428,700014562-700173546
5.7930295372093527e-05,28.7617234808791,700014724-700016000
0.019421290873504676,0.09169863709496294,700014724-700016456
0.007312531225870918,0.0986608979878165,700014724-700016765
0.01901651476514926,0.10063482842640173,700014724-700021876
0.0001741136526867913,0.15240232438095985,700014724-700023113
0.01832438086399849,0.09440919459625813,700014724-700023267
0.015476804635104568,0.09120825412224713,700014724-700023337
0.017204550346905996,0.10616224562797569,700014724-700023845
0.017580087504845996,0.10634138453845682,700014724-700023872
0.005837231057062676,0.11141843801080217,700014724-700023919
0.011003305582761998,0.08659559467186251,700014724-700024086
0.01698585045101188,0.10242065980055114,700014724-700024233
0.014630730973209185,0.09490853702603443,700014724-700024449
0.014787490757818276,0.09453193557898074,700014724-700024545
0.016208140053349186,0.09255047727276791,700014724-700024673
0.014907181698856178,0.09425201532904331,700014724-700024789
0.016669582783247705,0.10121211445781472,700014724-700024930
0.0166992304318354,0.09611585672004465,700014724-700033797
0.007695250095628108,0.0971576222438581,700014724-700033922
0.015876021841366033,0.09094916751575158,700014724-700034166
0.022033271719038818,0.08547993129447254,700014724-700034622
0.017690221725953102,0.09503038537056364,700014724-700034794
0.015089839402130704,0.09643287462182423,700014724-700035747
0.01558186030275142,0.10499562234652268,700014724-700035785
0.015919728253212907,0.10409107129434982,700014724-700037042
0.01848364205624558,0.10262649511783561,700014724-700037090
0.0169015068182215,0.10585927572187187,700014724-700037632
0.01592256769052176,0.09387679669922709,700014724-700038167
0.019037732082251946,0.09891932878306438,700014724-700038546
0.016432056082974697,0.10666595982278655,700014724-700038594
0.016989329083304344,0.09834360078937414,700014724-700038702
0.00017395211967905833,0.24413536771131944,700014724-700095213
0.016882158804115706,0.09769034394056471,700014724-700095410
0.017378449691021133,0.10931374332299328,700014724-700096380
0.005950976736399127,0.10317299770447093,700014724-700096865
0.01633517117174047,0.09127523281962195,700014724-700097234
0.017814631964083144,0.09746403536755902,700014724-700097482
0.017994696300037884,0.10390657003716251,700014724-700098867
0.018358645764549552,0.09738560285010386,700014724-700101534
0.00014494854326714017,0.22859768569707933,700014724-700102043
0.01757320816618213,0.09855481835242753,700014724-700102242
0.01527466700434497,0.10151095205546803,700014724-700106056
0.015460812005602197,0.10053595470013282,700014724-700106065
0.0002899958675588873,0.15022733125215637,700014724-700106170
0.01546000632311097,0.09203229872965739,700014724-700106325
0.016281782132027058,0.10058156040380062,700014724-700106754
0.018246469894116622,0.09251888258796383,700014724-700107930
0.018594649294794763,0.09358420743582621,700014724-700108840
0.017222485729706742,0.10250431751260022,700014724-700109231
0.018575079473913857,0.08901560661978646,700014724-700111223
0.01684414789130037,0.10482003370161562,700014724-700111745
0.018388853525709032,0.09460381000269384,700014724-700113975
0.00011606229643761289,0.20146095652248058,700014724-700114082
0.016447036349658713,0.09270421802507291,700014724-700114218
0.01992755071849536,0.09869427276397766,700014724-700116201
0.018065776724296708,0.10778624641399737,700014724-700116401
0.0002609735764253869,0.17069252730285345,700014724-700116468
0.018117884512283577,0.09320479992933033,700014724-700116730
1e-06,0.4239655573714504,700014724-700117239
0.01606160616061606,0.09194161589326015,700014724-700117682
0.015029369099426886,0.0961221993094509,700014724-700117766
0.016549711233931567,0.0897521990937036,700014724-700121919
0.015513350883790899,0.10416149491957019,700014724-700122108
0.016981807641813437,0.10206366678871844,700014724-700122408
0.00014529920739282366,0.15707789609578637,700014724-700122765
0.015556590591523055,0.08802275896005651,700014724-700122860
8.695022099847837e-05,0.2638471959516761,700014724-700123135
0.015186843250637318,0.09570772241079231,700014724-700123959
0.005290175068929188,0.09819929461130303,700014724-700161342
0.018759870467561057,0.10240549809468528,700014724-700161743
0.0193558995560358,0.08982985657520362,700014724-700161856
1.4496745480639596e-05,18.766781443044824,700014724-700161945
0.01618565348410948,0.10015108028485409,700014724-700163030
0.016841058625216534,0.09807211493452936,700014724-700163419
0.01688498883309838,0.10974567028878894,700014724-700164354
0.0001325937548341473,0.2285314832636387,700014724-700164641
0.016879351707862183,0.10440148952681816,700014724-700164792
0.017797921733362813,0.0958196714403908,700014724-700171066
0.015689369426248916,0.10505295532067392,700014724-700171324
1.4736004479745362e-05,0.49388557753350054,700014724-700171441
0.00601617413649762,0.11159762331215191,700014724-700171648
0.016603631455877968,0.10086548234891878,700014724-700172132
0.017435767141995108,0.10774770502671516,700014724-700172393
0.020833022652370373,0.07848338480885256,700014724-700172461
0.010604729342552622,0.08542646653492812,700014724-700172621
0.0058474257797820365,0.100339046147422,700014724-700172813
0.018067623088839496,0.10607323487958878,700014724-700172927
0.01708476490798701,0.10138154717757236,700014724-700173023
0.043684473290064904,0.07623562503270181,700014724-700173176
0.01602121686803046,0.0925983230412006,700014724-700173546
0.018859817733655956,0.09020369039129757,700016000-700016456
0.007272452373752646,0.09941509419712534,700016000-700016765
0.018746282094567437,0.09978299825466265,700016000-700021876
0.00023156523626890514,0.20350362523403226,700016000-700023113
0.018284151115443268,0.09467182283956631,700016000-700023267
0.01626751733879287,0.09659774493332941,700016000-700023337
0.0173432406043656,0.10779224351570131,700016000-700023845
0.017462690108430018,0.10629773105306649,700016000-700023872
0.006022745953701074,0.11647690658991683,700016000-700023919
0.010835972375901408,0.08693637884781183,700016000-700024086
0.01696268847431638,0.10288407961321196,700016000-700024233
0.01575727367007806,0.10347830966018953,700016000-700024449
0.014966119046458344,0.09651889524825386,700016000-700024545
0.015947965852590763,0.09189087391423162,700016000-700024673
0.01594054691220209,0.10159873330290375,700016000-700024789
0.01700185286796924,0.10399528841005805,700016000-700024930
0.015891485224265995,0.09217977227089202,700016000-700033797
0.007509386733416771,0.09607815637446183,700016000-700033922
0.016296331353478945,0.09411267136353622,700016000-700034166
0.022469425216179756,0.08812283808582418,700016000-700034622
0.017684861822067008,0.0954437745671896,700016000-700034794
0.015105499992049737,0.09702551535960649,700016000-700035747
0.015683103002624422,0.10635736927050449,700016000-700035785
0.015455007625826132,0.10168006397712664,700016000-700037042
0.0174573296163041,0.09755136183279804,700016000-700037090
0.01642792922547813,0.10341920329658658,700016000-700037632
0.015050560476601083,0.08967489702745968,700016000-700038167
0.018684878173317803,0.09766512351391876,700016000-700038546
0.01622031530632608,0.10575816542725465,700016000-700038594
0.01810788744007825,0.10549200770252735,700016000-700038702
0.0001737581720640299,0.26777168600755996,700016000-700095213
0.01685815443494968,0.098373426224675,700016000-700095410
0.016368383085431624,0.10398590444306591,700016000-700096380
0.006278933645506306,0.10999295670854208,700016000-700096865
0.01741638558774391,0.0981155943964067,700016000-700097234
0.017882089969265158,0.0980877029568225,700016000-700097482
0.017615592477921424,0.10239220844649807,700016000-700098867
0.018304510113934573,0.09748236795124345,700016000-700101534
0.00011579015928383787,0.21880620946176577,700016000-700102043
0.017501420569851447,0.09875276325286804,700016000-700102242
0.01433090794052515,0.09613472623280962,700016000-700106056
0.01495838380680708,0.09809508439130973,700016000-700106065
0.0003183515179579197,0.19961941523933804,700016000-700106170
0.015370276759762417,0.092159597175023,700016000-700106325
0.01603380771860046,0.09971082694503769,700016000-700106754
0.01781927520177243,0.0908936439346605,700016000-700107930
0.018622886547414848,0.09396328436036001,700016000-700108840
0.017408787759905845,0.10420886042659568,700016000-700109231
0.018421196054158005,0.08886846323793039,700016000-700111223
0.01735854455280288,0.10875377689428639,700016000-700111745
0.018207810978100356,0.09393754190110028,700016000-700113975
0.0001594931019233418,0.27738438278716976,700016000-700114082
0.01683436382396065,0.09553548335254748,700016000-700114218
0.01995797480085968,0.09941934716747869,700016000-700116201
0.01694915254237288,0.10146509475404783,700016000-700116401
0.0002460790203159944,0.18614654799436361,700016000-700116468
0.017736925914831222,0.09153846979822389,700016000-700116730
4.332161243041466e-05,0.7447877161672756,700016000-700117239
0.015937068207511618,0.0920984517157559,700016000-700117682
0.014871360357292748,0.09576847565013763,700016000-700117766
0.016038678784779527,0.08774151575354931,700016000-700121919
0.016047217960359458,0.10854342420984482,700016000-700122108
0.01671764896345464,0.1014480145155116,700016000-700122408
0.0001448876396354627,0.18450733245054943,700016000-700122765
0.016081134518612712,0.09155278113999943,700016000-700122860
8.666199654796381e-05,0.2773812846678501,700016000-700123135
0.015333348868641204,0.09728345333345848,700016000-700123959
0.005366886311458302,0.10154638496723871,700016000-700161342
0.018142287138727172,0.09962843275623816,700016000-700161743
0.019454704814374255,0.0906633982087666,700016000-700161856
4.341973861317355e-05,2.400267296225789,700016000-700161945
0.015299868104585305,0.09561691369256112,700016000-700163030
0.015941815475036637,0.09371974440117439,700016000-700163419
0.0164665088626234,0.10746866282315033,700016000-700164354
0.0001325381047051027,0.2521419314321264,700016000-700164641
0.016002622868919004,0.09927241061234089,700016000-700164792
0.01772859307906037,0.0961071750264712,700016000-700171066
0.015047081276320562,0.10125571049903118,700016000-700171324
