dS,dNdS,host_pair
0.03275426552402796,0.09319724636525048,700013603-700013672
0.007094389918817399,0.10310144063065661,700013603-700013715
0.031751992828241225,0.09268798268836508,700013603-700014386
0.03258498004115736,0.09319422796359152,700013603-700014724
0.02834826627742667,0.09466097389659754,700013603-700015250
0.03255474362986005,0.09234605093906086,700013603-700015415
0.030728114685452484,0.09146255250444027,700013603-700015857
0.032541738981642185,0.09406527164512374,700013603-700016000
0.0003445066302416382,0.17656294171851755,700013603-700016210
0.03111535025964785,0.09246082786675029,700013603-700016542
0.03228872202367759,0.09284088497126344,700013603-700016610
0.03323540269019443,0.08959063554975767,700013603-700016716
0.03437153109827158,0.0945864794990087,700013603-700016765
0.03238986837631745,0.09014015284824478,700013603-700016960
0.014323679934395359,0.09625829692203915,700013603-700023066
0.027209269051511303,0.09504487059519119,700013603-700023113
0.03227901499839151,0.09293152353555872,700013603-700023337
0.027211624148503935,0.09290323894152969,700013603-700023509
0.0290343146675452,0.09427778001104944,700013603-700023578
0.030957643789468563,0.09286844417848804,700013603-700024086
0.03216654896208705,0.09132102748045935,700013603-700024234
0.03249917771347011,0.09231716047885925,700013603-700024349
0.03248826119636896,0.09477099043876654,700013603-700024449
0.030453500393476014,0.09146080329992055,700013603-700024615
0.0321434345098111,0.09183128241244237,700013603-700024711
0.03311646972967098,0.09316928949866453,700013603-700024998
0.025885208149876385,0.09257432203536631,700013603-700032133
0.032389106475999636,0.09192707180360091,700013603-700032413
0.026466470778271772,0.09061414420773367,700013603-700033435
0.03189325670707126,0.09389189086254894,700013603-700033436
0.03262127429510407,0.09128835320822096,700013603-700033665
0.033972592719026605,0.0907661376463695,700013603-700033726
0.03211454530606813,0.09140160111164418,700013603-700033922
0.032064334715051025,0.09431447392183838,700013603-700034166
0.03315001063474218,0.08861577647827337,700013603-700034254
0.032357849690816856,0.09267715202535519,700013603-700034838
0.029565991132657288,0.09753964936669048,700013603-700034926
0.03204779679033312,0.09251742878213301,700013603-700035157
0.03212488084468218,0.09415273642804826,700013603-700035533
0.0337404761108798,0.09297770220212181,700013603-700037284
0.03294663290646151,0.09286663990590331,700013603-700037405
0.001412275936990766,0.11691985083541959,700013603-700037649
0.03298883861420137,0.0936985594846385,700013603-700037852
0.0326134834396046,0.09251503692574574,700013603-700037868
0.004043842495352599,0.09719710452308312,700013603-700038493
0.0326210623082921,0.08925286381457355,700013603-700038806
0.004061306683952309,0.1061719557880719,700013603-700038870
0.032753543357132264,0.09475236885440771,700013603-700038956
0.03257514486761236,0.09195339595316857,700013603-700095213
0.031226802901859512,0.09297865441083988,700013603-700095486
0.03276888260597861,0.09238755412113762,700013603-700095717
0.03199863002807219,0.08884068432106651,700013603-700096380
0.034552871038594286,0.09247021246726901,700013603-700097234
0.03238988300068823,0.09225617327310534,700013603-700097291
0.03349303054906506,0.09268912770663747,700013603-700097688
0.032213020612948076,0.09239089295654698,700013603-700097906
0.0010623878081840496,0.096691520681865,700013603-700098669
0.02930008069550389,0.09224815303464826,700013603-700099886
0.03292452601757912,0.09611334417458965,700013603-700100022
0.030925877141929438,0.0906891061383993,700013603-700102043
0.032022261399445924,0.09052738436364362,700013603-700102299
6.66079305824258e-05,0.872665568220871,700013603-700105049
0.029588062747098583,0.09424328056966977,700013603-700105882
0.032222387911323196,0.09247498599944647,700013603-700106170
0.032096816627203366,0.09197662567142842,700013603-700106229
0.032327159384169135,0.09315676839956445,700013603-700106325
0.03147348157579616,0.09369396910792538,700013603-700108161
0.0007232789455930128,0.1392772927205871,700013603-700111156
