dS,dNdS,host_pair
0.030074844602308765,0.08808045407194927,700013603-700014486
0.023398126225889722,0.0926416835898157,700013603-700014724
0.030038858258905864,0.08763354760526487,700013603-700015250
0.026964941394765383,0.08946252415017077,700013603-700015981
0.03210644556958143,0.0878450134528982,700013603-700016142
0.03156920252366912,0.08329641938099895,700013603-700016610
0.02238439707231718,0.09367039155677306,700013603-700016960
0.019183111277320263,0.09277344715740775,700013603-700023267
0.027944440301098387,0.09051246127901422,700013603-700023919
0.024180997337517846,0.09054618058799419,700013603-700024024
0.030784824568775612,0.09023640289894726,700013603-700024086
0.019742442629186212,0.09558574006321699,700013603-700024141
0.023873291466568157,0.09112200249254655,700013603-700024233
0.029032983939757083,0.08638751486375351,700013603-700024449
0.01985834551465998,0.09279617500410747,700013603-700024545
0.028066180094836697,0.09022337698801595,700013603-700024615
0.02896315076722567,0.08876684904758261,700013603-700024673
0.028930847015613513,0.0876496940282391,700013603-700024752
0.02411058283465858,0.09003026143394689,700013603-700024930
0.029600065245537308,0.08768410139089991,700013603-700032133
0.027433642477347513,0.09162267245957476,700013603-700032944
0.02512252846092897,0.09192573898601138,700013603-700033153
0.02981546438920238,0.08702426362166193,700013603-700033435
0.031142847987010905,0.08474521413937672,700013603-700033436
0.03027965922656546,0.08783960046062124,700013603-700033502
0.02323378111387476,0.09378715477076631,700013603-700033726
0.030467446856776846,0.08514032262219634,700013603-700033922
0.025652051977189866,0.08944969322217182,700013603-700034254
0.03131379070948222,0.08249161547184855,700013603-700035785
0.028842347644981437,0.08701621118494672,700013603-700037042
0.0179354048512927,0.09601965879782497,700013603-700037284
0.027836345056849784,0.09147953471127558,700013603-700037852
0.030935283469848068,0.08151433753317266,700013603-700037868
0.02042681025624341,0.09840068020171937,700013603-700038053
0.011289698863503648,0.09137381723195705,700013603-700038493
0.030302642916130815,0.08519426590735796,700013603-700038594
0.02732971606173945,0.09054441067152669,700013603-700095213
0.03114153177409414,0.08783184500683738,700013603-700095647
0.02958196019409918,0.08860709291221934,700013603-700096700
0.029689971207267123,0.08701231087913444,700013603-700096865
0.02765367290865504,0.08980708147039504,700013603-700097291
0.030169876803799397,0.08820759898136922,700013603-700097906
0.027454056765133298,0.0865263721371539,700013603-700097973
0.022931963685029116,0.09476898608855107,700013603-700098561
0.02836181702919042,0.0890030351649987,700013603-700098669
0.011526885724037358,0.09045906814877505,700013603-700098867
0.030209364293871336,0.08716684687402317,700013603-700101840
0.023064836959466258,0.09067404172700783,700013603-700102299
0.026547766285124584,0.09137621344537844,700013603-700105940
0.028056834414015883,0.09043697146992695,700013603-700106056
0.02853259083391834,0.09111504711265994,700013603-700106325
0.02800937163602592,0.08933711934112527,700013603-700106504
0.026679780515581324,0.09057767503998532,700013603-700106836
0.030146622208011693,0.08694567619728141,700013603-700106876
0.026174762266411373,0.09159481852579175,700013603-700108530
0.027302980661247284,0.08965309853073945,700013603-700108840
0.029347349978098992,0.08995560095290628,700013603-700110155
0.029139167277764198,0.08783946595489739,700013603-700113762
0.03140743284206686,0.0872689886357909,700013603-700113867
0.02606378197162543,0.09049715619155065,700013603-700113975
0.026924264251903685,0.08697056438851668,700013603-700114082
0.022559630272726085,0.09151180710682619,700013603-700116076
0.03151754829890802,0.0843874797942432,700013603-700116468
0.04802227368251971,0.07950646947898601,700013603-700117000
0.02851686823679185,0.08801036944061787,700013603-700117031
0.01782240351427675,0.09102974464529147,700013603-700117239
0.011577161182520614,0.09252915539173538,700013603-700117755
0.02979465501328343,0.08797372956724282,700013603-700122408
0.022114285114820137,0.09730655639918344,700013603-700123827
0.023397661275620492,0.09417795230835872,700013603-700161219
0.030220459475373232,0.0875395012403505,700013603-700161342
0.02906584880324777,0.0901093108405744,700013603-700161743
0.02591780204459749,0.09054514819452827,700013603-700161872
0.018630170640079435,0.08856432383866365,700013603-700163238
0.028077782054202374,0.09145081699744237,700013603-700163772
0.025762172377778884,0.08893397808089092,700013603-700163868
0.024778118189570764,0.0933790238803344,700013603-700164354
0.02343817910266913,0.09154152856119854,700013603-700165148
0.029271296369331293,0.08935894851103257,700013603-700171115
0.02971863934447186,0.08727865759966112,700013603-700171648
0.030269894637875182,0.08758598056400069,700013603-700172279
0.02346097966505295,0.09097739213745464,700013603-700173377
0.029035962210971347,0.08658089248303125,700013603-700173546
0.029734842546431297,0.09246155329179757,700014486-700014724
0.016741109316728016,0.08562520444889135,700014486-700015250
0.03382407775834153,0.08505846732979933,700014486-700015981
0.018165118392426002,0.08219740335963124,700014486-700016142
0.033938192853161575,0.0819742973912035,700014486-700016610
0.026555347482313776,0.09013491580865901,700014486-700016960
0.029280686730597624,0.09080961071721183,700014486-700023267
0.03455995591440703,0.08430316489528819,700014486-700023919
0.031889616279528334,0.08415478899160146,700014486-700024024
0.017280065273771017,0.08620739222917144,700014486-700024086
0.02895085316484431,0.09154366143550764,700014486-700024141
0.03251078126074442,0.08495466221865751,700014486-700024233
0.021742651226819985,0.08784699026315719,700014486-700024449
0.031989188975911936,0.08691017756311159,700014486-700024545
0.017774437312098806,0.09321557418976965,700014486-700024615
0.019588486549287746,0.08436577011143766,700014486-700024673
0.014584949573312645,0.0914721179942981,700014486-700024752
0.03220314033366045,0.08641714900450533,700014486-700024930
0.0196290508007418,0.08641896376713218,700014486-700032133
0.03210631021883573,0.08750406016867615,700014486-700032944
0.03234516009395475,0.08534965736263667,700014486-700033153
0.029501630896291927,0.08920324901281643,700014486-700033435
0.03252390701531604,0.08378982395061876,700014486-700033436
0.0018527635034690814,0.10167671614604028,700014486-700033502
0.029841766746798754,0.08950737653380703,700014486-700033726
0.030567810023651196,0.08274040537985736,700014486-700033922
0.03190976950294598,0.0887182524384357,700014486-700034254
0.034316542485732404,0.08427855832544254,700014486-700035785
0.014411413440513027,0.08785394376711153,700014486-700037042
0.02864269426050293,0.09273221603639886,700014486-700037284
0.03372900302638982,0.085277033033469,700014486-700037852
0.03411002275650539,0.08357467074420238,700014486-700037868
0.028778086791139728,0.09122273920871161,700014486-700038053
0.029975741438866135,0.09090822883862718,700014486-700038493
0.02363060982613052,0.08105452013490269,700014486-700038594
0.01786222891321154,0.08985981362473146,700014486-700095213
0.027795027394137577,0.0900186694060412,700014486-700095647
0.015834421480781066,0.08940962916579062,700014486-700096700
2.892116812598061e-05,0.8170178266425615,700014486-700096865
0.01858450853514501,0.0880853381604383,700014486-700097291
0.0028286085273375844,0.09866012638363388,700014486-700097906
0.03366932058010132,0.08444499963785247,700014486-700097973
0.03135107866702276,0.08539589441740468,700014486-700098561
0.01711270183430268,0.08585817111792235,700014486-700098669
0.030250795238469994,0.08888304002728381,700014486-700098867
0.002250137012098108,0.09692540211468241,700014486-700101840
0.0308968695226535,0.08352445812072197,700014486-700102299
0.032415631685628186,0.088174401950184,700014486-700105940
0.018508596511086797,0.09171754798743599,700014486-700106056
0.018558614290133002,0.09256415183602683,700014486-700106325
0.0330369205952913,0.08800676613761245,700014486-700106504
0.034549533710063245,0.0862520755070265,700014486-700106836
0.002361166773699789,0.08892563599376875,700014486-700106876
0.031039953241765124,0.08936734199139858,700014486-700108530
0.03346033124740905,0.08363811076541015,700014486-700108840
0.01442199889923966,0.08754619007125991,700014486-700110155
0.020370379369159673,0.08439461531077345,700014486-700113762
0.028198455142721207,0.08774050355651772,700014486-700113867
0.03127616976430785,0.08902621280482743,700014486-700113975
0.031009697605004074,0.08308957742047329,700014486-700114082
0.029757092225629136,0.09063367787962637,700014486-700116076
0.03385992693357938,0.08564978712948854,700014486-700116468
0.04458782570492239,0.07871744507419096,700014486-700117000
0.020853927781191633,0.08912033193292566,700014486-700117031
0.030026924927568872,0.09051935296803741,700014486-700117239
0.0300137533431789,0.0883308176470712,700014486-700117755
0.01855689158689392,0.08606851283668818,700014486-700122408
0.0298803865612285,0.09029790101908775,700014486-700123827
0.029934646846016565,0.08889473312349441,700014486-700161219
0.002132097785095228,0.1133693278114717,700014486-700161342
0.017376365321833058,0.08657980077076972,700014486-700161743
0.031036847969932096,0.08747104031969945,700014486-700161872
0.031850197560556605,0.08593748310851468,700014486-700163238
0.018645507782868588,0.08927482211724187,700014486-700163772
0.030976235419389188,0.08856068281015693,700014486-700163868
0.031201864821014152,0.09014035597293298,700014486-700164354
0.029986771297568743,0.08871427028496838,700014486-700165148
0.020124162099980098,0.08481369616286825,700014486-700171115
0.00017047101140451067,0.2607781797993013,700014486-700171648
0.0020345038219955172,0.10642292531044091,700014486-700172279
0.02730792016506302,0.08727154376562787,700014486-700173377
0.022500826308658455,0.08599238160605734,700014486-700173546
0.030473248874463406,0.09328459865325496,700014724-700015250
0.020947932790933096,0.09697183345285423,700014724-700015981
0.032492675723412155,0.08969248928673197,700014724-700016142
0.03464557681682419,0.08562245509288688,700014724-700016610
0.024187391147230078,0.09753029883848648,700014724-700016960
0.02365200754542572,0.09426392413805981,700014724-700023267
0.020699232755479753,0.09762176843882855,700014724-700023919
0.020255784726842613,0.10217863113902705,700014724-700024024
0.03052590744196775,0.09330579337165529,700014724-700024086
0.02319845201896702,0.09810900784677296,700014724-700024141
0.020389137030170236,0.09421829391717668,700014724-700024233
0.03009427898007285,0.09064591226484156,700014724-700024449
0.024071495935689587,0.09717999497840352,700014724-700024545
0.026502447395147233,0.09545842265088451,700014724-700024615
0.029090337702470898,0.09085897191602124,700014724-700024673
0.02859441333662554,0.09429512382110494,700014724-700024752
0.021060547100953904,0.0971219844727126,700014724-700024930
0.02983860599238554,0.09145223438784579,700014724-700032133
0.021838759597481685,0.0994871121876865,700014724-700032944
0.017951970929354837,0.10102568585287158,700014724-700033153
0.03205290144551756,0.09279170118830861,700014724-700033435
0.03127306045302046,0.0895289370208498,700014724-700033436
0.03021733438072794,0.09324388371273926,700014724-700033502
0.0211726558654196,0.10224708242300398,700014724-700033726
0.03340590333238518,0.08640717093475998,700014724-700033922
0.017891373801916934,0.09818865205137953,700014724-700034254
0.034750827019528335,0.08546116626696268,700014724-700035785
0.028297042178210483,0.09299237875321585,700014724-700037042
0.021996455161594146,0.09779972381704635,700014724-700037284
0.02071276756644882,0.09752411651845161,700014724-700037852
0.03424124098493577,0.0837528752949592,700014724-700037868
0.023921115101345182,0.09904530081856011,700014724-700038053
0.023825733607793824,0.09553692203094259,700014724-700038493
0.03127548202120104,0.08913951716021946,700014724-700038594
0.028291738672116165,0.09512626773154632,700014724-700095213
0.031009250310644762,0.08887716961354099,700014724-700095647
0.029762759838895893,0.09269468309302045,700014724-700096700
0.029211325519990818,0.09065249322028905,700014724-700096865
0.02882659923602518,0.09556861456877831,700014724-700097291
0.03064383400603472,0.09211159923015594,700014724-700097906
0.022023170596291223,0.09782137695554935,700014724-700097973
0.0240290197850091,0.095343379829961,700014724-700098561
0.028998709072337765,0.09556330301128936,700014724-700098669
0.023205756998136685,0.09339258544402537,700014724-700098867
0.030127910379133052,0.09231786424689396,700014724-700101840
0.02043069688376268,0.09576943089924925,700014724-700102299
0.02036981519946894,0.10059270863600711,700014724-700105940
0.02814742822966507,0.09294342205995301,700014724-700106056
0.02679075468959177,0.09663600242837926,700014724-700106325
0.02181631105525888,0.09674695016121902,700014724-700106504
0.020569103315652332,0.10019852766859248,700014724-700106836
0.029650412493403763,0.09094160495921662,700014724-700106876
0.02017982234810872,0.0996623576190676,700014724-700108530
0.0197948143608816,0.09692704046520531,700014724-700108840
0.029314369762640506,0.09194720158186696,700014724-700110155
0.028699006330971447,0.09335509882445468,700014724-700113762
0.03203932823421172,0.08997061981819675,700014724-700113867
0.020350140544836085,0.09546654191597738,700014724-700113975
0.025680477127085845,0.09161611816989726,700014724-700114082
0.021012013726923878,0.09784064669794447,700014724-700116076
0.03356003953928142,0.08748548882460973,700014724-700116468
0.04977530258333104,0.07985339911677773,700014724-700117000
0.028987785927480747,0.09310014256129967,700014724-700117031
0.022941443901336726,0.09335064440349573,700014724-700117239
0.023156944010218342,0.09412373415836593,700014724-700117755
