dS,dNdS,host_pair
0.016194067616762165,0.13647745347456064,700013588-700013603
0.016958752863797374,0.12642223649257991,700013588-700014724
0.015282034893011229,0.13971335426461218,700013588-700015702
0.01754058909263465,0.12596677903884268,700013588-700015857
0.01676811345157235,0.13931910157432156,700013588-700015981
0.015631754595286266,0.13137609975661246,700013588-700016000
0.01494915548859982,0.13726903751328084,700013588-700016142
0.017856988811345658,0.1264736902459798,700013588-700016456
0.01638368632942412,0.13877427554053456,700013588-700016610
0.014858581522095045,0.13567742065020721,700013588-700016716
0.017067149581009165,0.1415415041631604,700013588-700016765
0.014396906954265655,0.12923937696548154,700013588-700016902
0.017147029921657366,0.1368598095314162,700013588-700016960
0.01805141161706407,0.12662978697164276,700013588-700021123
0.017248386519922616,0.13020254524039457,700013588-700021261
0.018538216076584107,0.12889789955371872,700013588-700021295
0.017828284564866074,0.12621273271223485,700013588-700021306
0.017890042529744993,0.12407144792402316,700013588-700021824
0.01640058298292932,0.12736373699610049,700013588-700021902
0.02481748624295705,0.12125214218958455,700013588-700023066
0.01798732100104911,0.1376581539321449,700013588-700023337
0.017306108293232758,0.1271766123138438,700013588-700023578
0.018417805012979276,0.13071749279548034,700013588-700023634
0.01788025338873374,0.13642776984630442,700013588-700023720
0.04063876501793288,0.1183523081661329,700013588-700023872
0.01565350624323748,0.1327939470671307,700013588-700023919
0.017959268172760914,0.12781599748026298,700013588-700024024
0.01836574779232442,0.1315559236210333,700013588-700024086
0.017331785953290584,0.13616020905683404,700013588-700024449
0.01784258986318947,0.13821872840790247,700013588-700024509
0.018345132069726724,0.13298417987320493,700013588-700024545
0.014180686010308469,0.13570969983552095,700013588-700024615
0.01718656704374909,0.13494240267805604,700013588-700024673
0.01716192864161556,0.13304922217807819,700013588-700024711
0.015722498773049147,0.13222635643717134,700013588-700024789
0.014570165503635234,0.13015281815882868,700013588-700024866
0.01537693797630023,0.1329734591026827,700013588-700032133
0.01513610426327857,0.12152129487662201,700013588-700032944
0.015178330820605821,0.137275651463189,700013588-700033153
0.017659715326050977,0.12316287357564225,700013588-700033201
0.01637916914509358,0.14773590474705825,700013588-700033435
0.016440180971952597,0.13476309037041428,700013588-700033436
0.015693654487561853,0.1282062346938412,700013588-700033665
0.015749223896418568,0.12580142606597164,700013588-700034166
0.016997360711326733,0.1283067442769541,700013588-700034254
0.017011679138401285,0.1268200282593818,700013588-700034926
0.016483986251945075,0.1289041131595898,700013588-700035157
0.01643405232312247,0.13353226170277382,700013588-700035533
0.017451415597838058,0.1441191248091763,700013588-700035861
0.015610861641762015,0.12350634191007442,700013588-700037008
0.04195804195804196,0.11368786272912994,700013588-700037284
0.016613449600466797,0.13633767572155303,700013588-700037303
0.01787266167472809,0.13176673208525358,700013588-700037405
0.016566440002501945,0.1348617728571377,700013588-700037738
0.01693599262386568,0.13141570759543209,700013588-700037757
0.04353009595812736,0.12195772098877981,700013588-700037852
0.017916767064817044,0.14469911515586018,700013588-700037868
0.01617110505347033,0.1282918963363011,700013588-700037916
0.017487101772548485,0.1398494852875512,700013588-700037967
0.015470431078056178,0.134769658914228,700013588-700038072
0.017036654620547237,0.13213832306217363,700013588-700038167
0.017079646017699113,0.12889755868355976,700013588-700038386
0.010057131266691458,0.13106020677933644,700013588-700038493
0.017659329899101708,0.13220056839104022,700013588-700038546
0.01681929261568699,0.1404575618180218,700013588-700038761
0.015332107236330198,0.12991512689654838,700013588-700038806
0.016650736958599525,0.1326063407494736,700013588-700038870
0.01655337930581012,0.13213865249169351,700013588-700095058
0.014987993772594136,0.13310716302738207,700013588-700095213
0.016861803672235377,0.130788303070069,700013588-700095410
0.014857824732966617,0.13676070277664587,700013588-700095717
0.017583419486661835,0.13469866951863407,700013588-700097482
0.014814059518433818,0.13585039260485332,700013588-700097837
0.017826968570462995,0.13725288015294226,700013588-700097906
0.016848786233069422,0.13428906683737238,700013588-700097973
0.016304128495903788,0.13493706301013875,700013588-700098267
0.01839621864655215,0.12716740584315056,700013588-700098429
0.019164955509924708,0.13580187323098367,700013588-700098669
0.016834032043157518,0.12621847365105268,700013588-700098867
0.016539321258892223,0.1381045602251974,700013588-700099886
0.01652289316522893,0.14235125197980772,700013588-700100022
0.01675396525853578,0.12999698006888985,700013588-700100540
0.017093406446196852,0.1302808786424593,700013588-700102299
0.017978569956727797,0.12308831921565618,700013588-700105049
0.01504199039593033,0.13563288640277515,700013588-700105153
0.014717194734321253,0.13406676523517838,700013588-700105312
0.017460508035607086,0.14215258966806343,700013588-700105372
0.016142157269783276,0.13075909489380724,700013588-700105517
0.01693619623564585,0.13848678510528434,700013588-700105613
0.01929087548311208,0.12835958634291908,700013588-700105882
0.017377858605027104,0.13935346144646732,700013588-700106056
0.01731362844677439,0.13863574360207903,700013588-700106065
0.01584648925611422,0.12504060672739142,700013588-700106170
0.01435415125576808,0.13788738431892336,700013588-700106325
0.017914804035863156,0.13218907484401068,700013588-700106754
0.017437765217241913,0.13659745531204154,700013588-700106876
0.016713512606452156,0.13193174186616347,700013588-700107566
0.014397405750473264,0.1341431476283237,700013588-700107930
0.015809580253241605,0.12504503925984553,700013588-700109564
0.016969149283329567,0.12606549503055525,700013588-700111223
0.01629588792320664,0.12783199831766923,700013588-700111296
0.016405122815767444,0.1290005891067056,700013588-700111439
0.016857618735173874,0.13495853439393565,700013588-700113705
0.014982358779676734,0.13664124342773307,700013588-700113762
0.018748888531337066,0.12499369337851424,700013588-700113810
0.016518862105153534,0.12663519225244946,700013588-700113867
0.017683690391579517,0.13344509830388016,700013588-700113975
0.044657413839545204,0.11980504518114218,700013588-700114218
0.017566765578635016,0.13099107287399073,700013588-700116028
0.013094470936976415,0.13317915087955823,700013588-700116076
0.04109221128021486,0.11707920140482447,700013588-700116148
0.016245567572851772,0.12872822657133687,700013588-700116201
0.017538665180437507,0.12139616180641326,700013588-700116296
0.016365318307964005,0.13393798666258105,700013588-700116401
0.01623587257144808,0.12902927469399267,700013588-700116505
0.01655760933594434,0.13078882627185934,700013588-700116730
0.01716674377106602,0.12160906741890053,700013588-700116865
0.016965806957603514,0.11391916552261852,700013588-700117031
0.018266256694738185,0.13979156557974307,700013588-700117172
0.017698077824660104,0.1214634369246321,700013588-700117239
0.016948754297887673,0.1320686561100746,700013588-700117303
0.015024739385246198,0.13898838890001428,700013588-700117766
0.01499302649930265,0.13646372105272664,700013588-700120753
0.01006917634452656,0.12591699496090136,700013588-700121919
0.017854065418950127,0.1275733433119177,700013588-700122408
0.01748839712114078,0.12631027291683206,700013588-700123135
0.017696927754022592,0.12919788447332597,700013588-700124561
0.01695012218144967,0.13155493981707875,700013588-700161219
0.018071445633283088,0.14535999499061994,700013588-700161342
0.01739801869588789,0.12694467394492798,700013588-700161429
0.01718141404705706,0.12669443443446862,700013588-700161872
0.01790366757966464,0.13016162126787173,700013588-700161967
0.017289159118170163,0.11920560799145725,700013588-700163982
0.017204410001857198,0.12663410739456063,700013588-700164735
0.01658042360107532,0.13354530731638034,700013588-700165224
0.01586960501078401,0.13490958087769975,700013588-700165407
0.01578216547566634,0.126440568272495,700013588-700166775
0.04631195524912189,0.11896112478523778,700013588-700171679
0.017710021609940573,0.13907217745740819,700013588-700171955
0.0164673716629217,0.13520618052650807,700013588-700172279
0.014855937186537996,0.135748331298676,700013588-700172621
0.016773250195379792,0.13614389498072718,700013588-700173272
