dS,dNdS,host_pair
0.0210425685038186,0.11884137448476949,700015415-700015702
0.03920670993901542,0.12491195309089585,700015415-700016610
0.04284538404886713,0.12609618442941517,700015415-700016716
0.017734728279774167,0.11672804121768215,700015415-700016765
0.04088880200697227,0.12255150603426043,700015415-700021295
0.03771799160029899,0.12683721170519888,700015415-700021361
0.03895264794778571,0.12214815257122459,700015415-700023113
0.038534373613530855,0.129883559935393,700015415-700023578
0.038747055797709616,0.12389056540794552,700015415-700023788
0.03936347508198484,0.12702533955221806,700015415-700023919
0.040311848407622725,0.12924974404276332,700015415-700024233
0.019867267023751092,0.13017893112008372,700015415-700024318
0.03906396926466242,0.12772982020192036,700015415-700024449
0.04161070205248537,0.12421363701534385,700015415-700034254
0.020012876918124263,0.11747574073273104,700015415-700035785
0.03558141906945034,0.12797591100834776,700015415-700037123
0.020598910099247348,0.11677493913587947,700015415-700037868
0.03841790819027452,0.12767185236887477,700015415-700099512
0.010934532304621691,0.11153203529853117,700015415-700099590
0.0413356957884694,0.12574498603090228,700015415-700100600
0.04281738625060074,0.12673921434851054,700015415-700102299
0.04100830776466985,0.12901746309298162,700015415-700102432
0.04302713096646304,0.12833720805694962,700015415-700102659
0.04057240337704954,0.12195146587792176,700015415-700105153
0.03938238082923886,0.1281956319891469,700015415-700106170
0.013355417400534217,0.1081692128655714,700015415-700107189
0.03901558012011489,0.1253251358432627,700015415-700116076
0.03966452568374624,0.1303320574160314,700015415-700117069
0.04041853512705531,0.12043560024714398,700015415-700161945
0.04076678294531259,0.12202582588463226,700015415-700163030
0.019106646719384484,0.11646036564411473,700015415-700163181
0.01902533863179934,0.12176364106984224,700015415-700163419
0.04140699385441011,0.12362707155298028,700015415-700164417
0.020460494684545114,0.11866951162772922,700015415-700164735
0.02185376874324537,0.11899543954045164,700015415-700171324
0.019559327287399196,0.12229949744784772,700015415-700172279
0.03898179762085988,0.12372518221161628,700015415-700175086
0.04060758886994788,0.12686148288022384,700015702-700016610
0.041513909855510026,0.12409260992992653,700015702-700016716
0.01042654028436019,0.10511505294422682,700015702-700016765
0.04183266932270916,0.12601146279283373,700015702-700021295
0.038863575448941305,0.1320828404739513,700015702-700021361
0.04020248685309874,0.1283420587142179,700015702-700023113
0.03759780400293952,0.12524693327753553,700015702-700023578
0.03935752090868298,0.12540809477437478,700015702-700023788
0.04058580999828208,0.1228918867003559,700015702-700023919
0.041047348240058595,0.13082484507666764,700015702-700024233
0.011712471554289533,0.11318923923545086,700015702-700024318
0.039331778081677524,0.12389491674032795,700015702-700024449
0.039661734070441566,0.11871728050532394,700015702-700034254
0.014359269564105024,0.11463642941885174,700015702-700035785
0.03465637593936738,0.13015763040389805,700015702-700037123
0.013474740175554186,0.11430392143973861,700015702-700037868
0.037958849156709655,0.12179809063591189,700015702-700099512
0.020509733523954896,0.12213009649840031,700015702-700099590
0.04122173965102483,0.12451782541109117,700015702-700100600
0.040381142873017195,0.1263001022710135,700015702-700102299
0.04167622543396803,0.1272853076654577,700015702-700102432
0.043163608167485136,0.128189167773548,700015702-700102659
0.040089905124159844,0.12620499945458108,700015702-700105153
0.04009663655293757,0.13017326390076858,700015702-700106170
0.021426392246133626,0.11999619399727393,700015702-700107189
0.03924394975560589,0.1286775701749705,700015702-700116076
0.03953816851071115,0.12530416221933627,700015702-700117069
0.039717817252562224,0.12370452694572927,700015702-700161945
0.04119917667163503,0.12213519667856233,700015702-700163030
0.0207202027300411,0.12190115969915884,700015702-700163181
0.011721153234189702,0.12399917207293754,700015702-700163419
0.041772022233843534,0.12619482529806697,700015702-700164417
0.014103236539144163,0.12124308033875254,700015702-700164735
0.014424194586061298,0.11720831870420567,700015702-700171324
0.010939678063931394,0.11421075241324516,700015702-700172279
0.03816165641514338,0.12587760800152462,700015702-700175086
0.039961003087255594,0.12463858908324424,700016610-700016716
0.04002849080301654,0.12805569640241077,700016610-700016765
0.03998760579918133,0.1255244345041166,700016610-700021295
0.041415833558497706,0.1283645119290443,700016610-700021361
0.03903859359978025,0.12827185835947835,700016610-700023113
0.036002751940714096,0.1302598236848678,700016610-700023578
0.0367921099314827,0.128214226761885,700016610-700023788
0.035787128473100456,0.1271933737986812,700016610-700023919
0.03715700911408506,0.1294449983216339,700016610-700024233
0.040018628427847334,0.12597316184671994,700016610-700024318
0.03732610892515427,0.12933221308650042,700016610-700024449
0.03858830140154094,0.12649749767834964,700016610-700034254
0.03868238467059617,0.12173238897960754,700016610-700035785
0.04102230885856617,0.12643002365033854,700016610-700037123
0.040397792932827685,0.12911295654137095,700016610-700037868
0.03584023886280534,0.12690305537735044,700016610-700099512
0.040392118291203566,0.126701981583548,700016610-700099590
0.038669035344893354,0.12356886632123842,700016610-700100600
0.041979027219991076,0.12845891566779657,700016610-700102299
0.03894078439741927,0.1303386976006618,700016610-700102432
0.038100070715631394,0.12692348939384362,700016610-700102659
0.037381249660713316,0.12689713309381995,700016610-700105153
0.035896772524416275,0.1336746575519124,700016610-700106170
0.037153607686300494,0.125241686338026,700016610-700107189
0.0376985643321142,0.12755010655301552,700016610-700116076
0.024101276641205063,0.1158375387341686,700016610-700117069
0.0389328310678766,0.1232193239719333,700016610-700161945
0.03857131921129472,0.1246301439219838,700016610-700163030
0.04143769171571337,0.12761330469818333,700016610-700163181
0.04104019014927151,0.13095028684466606,700016610-700163419
0.040646440997626244,0.12655558738141812,700016610-700164417
0.03906757283234492,0.12612587373946177,700016610-700164735
0.03972869813548617,0.1272039450649614,700016610-700171324
0.040732426365185405,0.12922375981049866,700016610-700172279
0.036726989877232205,0.12227924544569817,700016610-700175086
0.04214466395913898,0.12580023975527,700016716-700016765
0.036705927889086595,0.13034072043787287,700016716-700021295
0.04480077224218373,0.12609118043980835,700016716-700021361
0.037778551532033425,0.1259301121727545,700016716-700023113
0.04020040815885802,0.12908463802381992,700016716-700023578
0.040122524699081064,0.12822901831242803,700016716-700023788
0.042202679977291956,0.12494312637202235,700016716-700023919
