dS,dNdS,host_pair
0.007063566451729473,0.15853386805529157,700014724-700014837
0.006420283820434621,0.15992053652018284,700014724-700015181
0.006840965843029394,0.16118431485986598,700014724-700015250
0.00789720629967552,0.15885789501008604,700014724-700015702
0.006173257111930453,0.154154238012917,700014724-700024318
0.014405483487225968,0.15166297346868798,700014724-700024545
0.00650742138506274,0.16343438586471837,700014724-700024752
0.007251643827543337,0.15481308011111863,700014724-700033153
0.0065258977310601925,0.16290050299036318,700014724-700034166
0.007569101844968575,0.14754473714870397,700014724-700034254
0.006569480248080629,0.14945089215635862,700014724-700037868
0.006383368311337099,0.1522234088167894,700014724-700038072
0.006473112337819779,0.16045906069398397,700014724-700095647
0.006676709784746243,0.15655918899352952,700014724-700096865
0.01034178477705377,0.1529200396852938,700014724-700097906
0.007312727293166731,0.15446782874396064,700014724-700100540
0.007288231533710887,0.157484871409501,700014724-700100600
0.007089445166517563,0.1634461952721964,700014724-700102432
0.006925440760845184,0.13968629660683252,700014724-700102586
0.005429048769089123,0.152193410535261,700014724-700103477
0.008375591134408295,0.15238209235423375,700014724-700105580
0.008835218932773298,0.14640829618779413,700014724-700106325
0.007457339466297265,0.16414284472337412,700014724-700107059
0.006820373405604176,0.1667829787928591,700014724-700107398
0.009095874593529873,0.15289836296253564,700014724-700114082
0.01497766934785439,0.1509688006951323,700014724-700116358
0.014635575312349798,0.1488166149611097,700014724-700117755
0.014769284044671456,0.14866224191832378,700014724-700117938
0.009491529247219653,0.1522751056253245,700014724-700117992
0.007818810741436038,0.15974121557282833,700014724-700120753
0.008562670472297987,0.1544008531797868,700014724-700161856
0.008022446931598832,0.14723898761078763,700014724-700171441
0.007696007696007696,0.1533633912511722,700014724-700172461
0.005985896779643476,0.15467430042548416,700014724-700172498
0.007012469415038972,0.15435862630838837,700014724-700172726
0.007201511806733896,0.1658327069222032,700014837-700015181
0.007065271408084738,0.1515277657817699,700014837-700015250
0.008232673886117519,0.14855247355626008,700014837-700015702
0.007231175918819817,0.1563671757055679,700014837-700024318
0.014213927595667376,0.15368935032781647,700014837-700024545
0.0070219748171596675,0.15507874172385466,700014837-700024752
0.007544163021733971,0.15602127708968244,700014837-700033153
0.007294341658827086,0.15406897234919567,700014837-700034166
0.008575525676884415,0.14578208001961024,700014837-700034254
0.006880040251344774,0.15521847477052306,700014837-700037868
0.0064740710899532745,0.1645189986160015,700014837-700038072
0.007012535331735971,0.1674021019363923,700014837-700095647
0.007032002962033402,0.15915737604334618,700014837-700096865
0.010294697303438521,0.1461004825297336,700014837-700097906
0.008315066242983454,0.14704127629499594,700014837-700100540
0.0071458751003116395,0.16518635267655693,700014837-700100600
0.007300863009622061,0.15024782613365395,700014837-700102432
0.0072146892655367235,0.14485177460507168,700014837-700102586
0.007052413150576644,0.15295132293965572,700014837-700103477
0.007985483021546494,0.15179904469528446,700014837-700105580
0.009135225223687878,0.15121276434302727,700014837-700106325
0.008293654278115006,0.15939754971192,700014837-700107059
0.007098652560079151,0.1549257495514211,700014837-700107398
0.009396639816405872,0.15068757184522313,700014837-700114082
0.014121991668138895,0.14872805627327293,700014837-700116358
0.014395618874128558,0.14941343703734802,700014837-700117755
0.014748868265526119,0.15312157261233766,700014837-700117938
0.009488420717710961,0.1529808646454082,700014837-700117992
0.008659286034489608,0.15559397081427723,700014837-700120753
0.009308767269466108,0.15424407944608456,700014837-700161856
0.00867843088925256,0.14523940088414014,700014837-700171441
0.008465734471926422,0.14703436201172085,700014837-700172461
0.00645696111161238,0.1590982870332284,700014837-700172498
0.0074085149961772515,0.1584912562639936,700014837-700172726
0.006577532236700592,0.15141002070181092,700015181-700015250
0.008017625147633324,0.1505736030548633,700015181-700015702
0.0069500844706927726,0.1644530117903399,700015181-700024318
0.01409865072840184,0.15365796977556884,700015181-700024545
0.006542372881355932,0.1520940385592308,700015181-700024752
0.007260019164646863,0.1643613968265602,700015181-700033153
0.007453737846860591,0.17217809790073516,700015181-700034166
0.0073827667554861596,0.14361020703116165,700015181-700034254
0.006768838523716318,0.15557757908281564,700015181-700037868
0.0063000772650985346,0.151592768714313,700015181-700038072
0.006363747024070703,0.15403829921941933,700015181-700095647
0.00737996978102519,0.15303917554927457,700015181-700096865
0.009980420355899017,0.14948375325585592,700015181-700097906
0.007244882101128834,0.14872446509264814,700015181-700100540
0.007474391714750033,0.15879742321058063,700015181-700100600
0.007072047900132742,0.16038489123621857,700015181-700102432
0.0072755348166182,0.15302914010518698,700015181-700102586
0.007002060091634677,0.1596406237250473,700015181-700103477
0.00808643088879153,0.15756544090956504,700015181-700105580
0.008953089894015387,0.1499600132990921,700015181-700106325
0.007428271459294088,0.15779236385537088,700015181-700107059
0.006995931283905968,0.15616514327654585,700015181-700107398
0.009209564522413827,0.15408246938643838,700015181-700114082
0.014851527354262638,0.15462106585422025,700015181-700116358
0.014206404311066538,0.149220178453548,700015181-700117755
0.014614092119014488,0.15668403221444982,700015181-700117938
0.009231396950068853,0.14752696736430915,700015181-700117992
0.007985667619898046,0.16248982417123956,700015181-700120753
0.0081016522734661,0.1540463693598493,700015181-700161856
0.008285643265914864,0.14757339204901113,700015181-700171441
0.008053236129360403,0.14272250062432107,700015181-700172461
0.005751888040398026,0.1668497086007331,700015181-700172498
0.006920921851022793,0.1553381472103426,700015181-700172726
0.007978617532485997,0.14046434869259872,700015250-700015702
0.0066619041139384045,0.16009927148613934,700015250-700024318
0.014167300661919539,0.15052254138932097,700015250-700024545
0.006675805152410158,0.1681686265285538,700015250-700024752
0.007233354679816853,0.1556302322315358,700015250-700033153
0.007001949054201733,0.15680399273147913,700015250-700034166
0.007970000623098841,0.14603005781241138,700015250-700034254
0.006826150186577681,0.14655574586098546,700015250-700037868
0.006782568460492385,0.1591130141906606,700015250-700038072
0.006840697331731314,0.15469677401187246,700015250-700095647
0.007185763839927804,0.1553275307620745,700015250-700096865
0.010027568589147108,0.1454289678071353,700015250-700097906
0.007538036547884628,0.1467783564885172,700015250-700100540
0.007384088790409185,0.15457543907072116,700015250-700100600
0.007545867732364928,0.16566907638369038,700015250-700102432
0.007155100475879023,0.14587841059045936,700015250-700102586
0.006780672829720072,0.15336609160640047,700015250-700103477
0.007975140037955016,0.1555103288466536,700015250-700105580
0.008995910949568378,0.15262095587350735,700015250-700106325
0.0073522139997230914,0.15481148382269522,700015250-700107059
0.007124782651719702,0.16409445815305942,700015250-700107398
0.009672424197570223,0.15251452247648506,700015250-700114082
0.014884594586902696,0.15056396398140773,700015250-700116358
0.015051788794398058,0.15429527966401863,700015250-700117755
0.014723256765818357,0.15010999952323523,700015250-700117938
0.009356638872890998,0.15420082457838985,700015250-700117992
0.0079802813473658,0.16061136997644823,700015250-700120753
0.008881286427151362,0.15501163037743557,700015250-700161856
0.008584304619854278,0.15241530102508016,700015250-700171441
0.008340123121491943,0.15057169433893836,700015250-700172461
0.005972098311657975,0.1596449176544213,700015250-700172498
0.007639548618256548,0.168070250278075,700015250-700172726
0.007775948031410962,0.1552352291991945,700015702-700024318
0.013841008342877707,0.1455670666633177,700015702-700024545
0.007848719337395688,0.14471241320486974,700015702-700024752
0.0081032642394625,0.15808889422026925,700015702-700033153
0.007717358119339191,0.1510093442282291,700015702-700034166
0.0075678222782381115,0.14466460116348692,700015702-700034254
0.0077164637679520845,0.1596421007019608,700015702-700037868
0.00800863955438088,0.15054321651553915,700015702-700038072
0.008073088665077372,0.15306504336385982,700015702-700095647
0.007809316854542985,0.15261401656614293,700015702-700096865
0.010461943520583179,0.1400001878712779,700015702-700097906
0.00822662626113727,0.1432688698611066,700015702-700100540
0.00833018226893695,0.15478865949961237,700015702-700100600
0.00784536184816984,0.1475327175575393,700015702-700102432
0.00828218255876446,0.15258938754391949,700015702-700102586
0.008127900047728114,0.1509884799060327,700015702-700103477
0.008824801069742271,0.14941034391585575,700015702-700105580
0.0086317878916773,0.14744914991205518,700015702-700106325
0.008435230693355555,0.1548479644023071,700015702-700107059
0.007864125080800638,0.14986967870677062,700015702-700107398
0.010172503950417616,0.14398665054312576,700015702-700114082
0.014644136640576866,0.14544696813198646,700015702-700116358
0.01461687334241273,0.14689185927139067,700015702-700117755
0.014451422152639145,0.1457163969944166,700015702-700117938
0.00947541142111265,0.13953168389992743,700015702-700117992
0.008550861465270631,0.1530387609121324,700015702-700120753
0.004864400581687063,0.14627328616679763,700015702-700161856
0.008792608014866561,0.14620166185604505,700015702-700171441
0.009188317953258193,0.1465365296410144,700015702-700172461
0.007720700281060581,0.16025071092094487,700015702-700172498
0.008070418356245673,0.15178904413811808,700015702-700172726
0.014340959443219939,0.15392282297335888,700024318-700024545
0.006400723756749879,0.15918561083105498,700024318-700024752
0.007160484066793538,0.1592678034611943,700024318-700033153
0.0069517857293877865,0.1592462821393106,700024318-700034166
0.00826530612244898,0.15075965142099604,700024318-700034254
0.006449153619178044,0.15311597761919596,700024318-700037868
0.00663248386520752,0.15816076098250287,700024318-700038072
0.0066529338928446955,0.15750895765307982,700024318-700095647
0.007478029053611369,0.15287251087573073,700024318-700096865
0.009737661054267956,0.1418861297558514,700024318-700097906
0.007762493736499857,0.15477503171994092,700024318-700100540
0.007342285222589557,0.1603981229763563,700024318-700100600
0.007355021216407355,0.15499799973529912,700024318-700102432
0.007505930193154863,0.14710813889223037,700024318-700102586
0.007048865555577486,0.1539397217599544,700024318-700103477
0.008251832864544357,0.15248269702527906,700024318-700105580
0.008582057762758073,0.14883652394703795,700024318-700106325
0.007719081966471475,0.16240270504669843,700024318-700107059
