dS,dNdS,host_pair
0.03724494491061046,0.0853742692371463,700013603-700013715
0.04019166940426159,0.08056528303292393,700013603-700014562
0.019834277952639933,0.089860681168565,700013603-700014724
0.019918247631972072,0.09416808031978416,700013603-700014837
0.02056042954552941,0.09693062778730716,700013603-700015181
0.009250522755143938,0.0917073148871162,700013603-700015702
0.019198190040327075,0.09468003734719961,700013603-700016000
0.021270656237513206,0.09156982918344159,700013603-700016716
0.019496900085911123,0.09340119285477472,700013603-700021824
0.023415319901374496,0.09563629355971316,700013603-700021876
0.020235351868770197,0.09619952797986411,700013603-700021902
0.021738178873532275,0.09591665560047619,700013603-700023113
0.019520637318865462,0.093076317976225,700013603-700023845
0.019324380918193634,0.09665490629369398,700013603-700023919
0.019424565102215047,0.09558382917970525,700013603-700024024
0.02305926087907282,0.09390427597193014,700013603-700024086
0.037916706279744763,0.08435280454313339,700013603-700024449
0.021313334010469996,0.09462878945960405,700013603-700024545
0.0201602212813876,0.09542191104293458,700013603-700024615
0.01950569916797878,0.09360203981528738,700013603-700024752
0.02253870240687019,0.09234106712697644,700013603-700024930
0.025904480670805946,0.0921367765034212,700013603-700033153
0.03805072120173167,0.08370381574100824,700013603-700033665
0.0363087494579539,0.08429923251313014,700013603-700033726
0.0034988987475470866,0.08736560689382325,700013603-700034794
0.03258557123603515,0.08863511141685129,700013603-700035747
0.023573268710156317,0.09651624829312223,700013603-700037042
0.020512317204828736,0.0961005393730417,700013603-700037123
0.02023252137986668,0.09460663002303635,700013603-700037357
0.0035060106917044315,0.09004589549064124,700013603-700037649
0.0035242145427455338,0.08665486724875371,700013603-700037738
0.022067864969587007,0.09711072297497042,700013603-700037868
0.01947899109647782,0.0923216196080151,700013603-700037916
0.019900741978281164,0.09437418105166044,700013603-700038072
0.019831553651182297,0.09464947415458219,700013603-700038386
0.038467139384570574,0.0863868883214044,700013603-700038594
0.008869770451863414,0.08772700776117685,700013603-700038806
0.02359392829875791,0.09556127613305207,700013603-700095213
0.023476164868192255,0.09342776246680552,700013603-700096047
0.03834139836264688,0.084091533249725,700013603-700096865
0.019466925061072973,0.09771025051964898,700013603-700097291
0.02268953614866799,0.09544477257332086,700013603-700098867
0.020533074396936406,0.09175674477839821,700013603-700100227
0.03928000767871359,0.08270629030422012,700013603-700100432
0.0033092320990025658,0.08694091760924266,700013603-700100600
0.01947890785020169,0.09381384240140556,700013603-700102356
0.025087659199968807,0.08838311060778012,700013603-700105580
0.019364799773841753,0.0922211267796182,700013603-700105940
0.021668567178300804,0.095469422805078,700013603-700106465
0.018954801340665777,0.09453922632162871,700013603-700106504
0.022293603585363052,0.09448158693424281,700013603-700106836
0.0034239281794203897,0.09006196515017932,700013603-700107059
0.019249487558258043,0.09491077992166147,700013603-700107189
0.03804176782663429,0.08599357899479045,700013603-700107398
0.02026909154346025,0.09166522967883296,700013603-700107930
0.024210370711035923,0.08628456624440212,700013603-700109564
0.02298280783561763,0.09428817846726475,700013603-700111505
0.058793164178741905,0.07946206203232169,700013603-700113975
0.01948002021045232,0.09118508587149793,700013603-700114082
0.004210240391144914,0.09230733146664755,700013603-700116076
0.038251762291425004,0.08448271811749365,700013603-700116401
0.025036713546336072,0.08809072961424076,700013603-700116468
0.018894040545501516,0.09340788610854887,700013603-700117031
0.01874899685249719,0.09506600093870837,700013603-700117069
0.037889506578580895,0.08346344813837535,700013603-700117682
0.02030849598604031,0.09458165064070827,700013603-700119562
0.03853306841388229,0.08359965202826178,700013603-700121919
0.009296455760239564,0.08790288635371862,700013603-700164792
0.031357691967836,0.08966986544639503,700013603-700164891
0.02581376624656994,0.0896926845678897,700013603-700166643
0.01962390687217787,0.0933182448246242,700013603-700171115
0.01878622126717458,0.09359570643290932,700013603-700171679
0.01944185007991853,0.096299904615285,700013603-700172132
0.02273521446667249,0.09597469846253369,700013603-700172813
0.038220827139887455,0.08456547484592916,700013603-700173546
0.02934258194117748,0.08261232840970749,700013715-700014562
0.03843446470255998,0.08394964815758948,700013715-700014724
0.03865254258555451,0.08550613142544919,700013715-700014837
0.038392197263219185,0.08221665576456466,700013715-700015181
0.03615325376503721,0.08469602448469088,700013715-700015702
0.03907956036881959,0.08464429085496028,700013715-700016000
0.03824863567211467,0.08509188747840882,700013715-700016716
0.03835977359248881,0.08471361297158148,700013715-700021824
0.037115374930754896,0.08493491470521981,700013715-700021876
0.03892459541615332,0.08420369147509511,700013715-700021902
0.03747294409979414,0.08339511578974292,700013715-700023113
0.03849635016042481,0.08238684007535357,700013715-700023845
0.03864680650221414,0.08160156332497903,700013715-700023919
0.03798658243854947,0.08529771748969951,700013715-700024024
0.03712855427627455,0.0851401608366993,700013715-700024086
0.02407543410911608,0.08798885581771217,700013715-700024449
0.0376665623323198,0.08385547798436997,700013715-700024545
0.038089186884478404,0.08312672030089406,700013715-700024615
0.038261556960897836,0.08439231878818448,700013715-700024752
0.03764721691101338,0.08370978782571369,700013715-700024930
0.03526954691034514,0.08386138960774125,700013715-700033153
0.025358414575856053,0.08998706998229772,700013715-700033665
0.02403604282193036,0.08775356783573272,700013715-700033726
0.037668061054604976,0.0844752795541624,700013715-700034794
0.032224766761052764,0.08478709158965801,700013715-700035747
0.037583340055240166,0.08632897612007052,700013715-700037042
0.03911754728418337,0.08413646502544232,700013715-700037123
0.038329968127888935,0.08414099511877043,700013715-700037357
0.037108032840247385,0.08366820049424642,700013715-700037649
0.03740639948614797,0.08427744119709199,700013715-700037738
0.03810700687996794,0.08473333916118826,700013715-700037868
0.038075250258888506,0.08163058168183518,700013715-700037916
0.03882662508527434,0.08502777764394882,700013715-700038072
0.03733308691031743,0.08371498052913817,700013715-700038386
0.024451737397354817,0.08921366261922817,700013715-700038594
0.03663624293801003,0.08601933900979826,700013715-700038806
0.03697091755044658,0.08462004207775312,700013715-700095213
0.03772429760897636,0.0864526494980716,700013715-700096047
0.023944429691540065,0.08818562828669728,700013715-700096865
