dS,dNdS,host_pair
0.009387750875085437,0.1065000449078868,700014386-700014562
0.013946535496855766,0.12753920773948066,700014386-700015702
0.00012234888582721146,0.3109266844215308,700014386-700015981
0.009370103577910963,0.10472138627704831,700014386-700016142
0.016471733329054963,0.11408006412869624,700014386-700016456
0.009029872834050772,0.10203070109691446,700014386-700016542
0.013403566315965032,0.12749206314486483,700014386-700016610
0.008702818697324363,0.1040775067875038,700014386-700016765
0.002098993050631116,0.11822099196372572,700014386-700016902
0.017767787436272275,0.11031818802123988,700014386-700021824
0.00038105242560466327,0.5443304958857695,700014386-700023267
0.017068814715109487,0.11321143488115044,700014386-700023919
0.001935179358086847,0.12249394192255841,700014386-700024086
0.009388744417801725,0.11066754161202333,700014386-700024318
0.013854991823055928,0.12858979182556787,700014386-700024437
0.0138446690258811,0.12330130082039079,700014386-700024673
0.010264794445421716,0.10805153953588635,700014386-700024711
6.680850626458225e-05,0.3896762796860089,700014386-700032133
0.013635333200860885,0.12550560207197714,700014386-700032944
0.018315458434984302,0.11821682449838587,700014386-700033436
6.681039466955835e-05,0.40106176387045445,700014386-700033922
0.009330454458372814,0.10609448467235418,700014386-700034254
0.013131884439416933,0.1317677221350971,700014386-700034926
0.016647677909051653,0.11600167418852278,700014386-700035157
0.024537967706374425,0.11452270426157761,700014386-700037042
0.016872826471751944,0.11403645581253548,700014386-700037303
0.017469274980776498,0.11710179776538417,700014386-700037757
0.0003818921206366245,0.16779123585705302,700014386-700037852
0.01704837003759438,0.10950063196956378,700014386-700037868
5.653041978975823e-05,0.5974108329868612,700014386-700038594
0.0311079700205878,0.10070571949369701,700014386-700038806
7.715295315787038e-05,0.5694087621244398,700014386-700095058
0.012893799041888115,0.12512693451485332,700014386-700095213
0.00983507653260242,0.10570753100699166,700014386-700097234
0.018761598755491056,0.11097041661386084,700014386-700097631
0.017691099476439792,0.10932507938019179,700014386-700097906
0.017324340280136047,0.11566196668088224,700014386-700099886
0.013154154485686641,0.10507253521582408,700014386-700102299
