dS,dNdS,host_pair
0.013499365128867702,0.12151863460562637,700013603-700013672
3.773252669576264e-05,0.8487751927968986,700013603-700014837
0.013496463028608834,0.12678877140546274,700013603-700015250
0.013883132373832131,0.127901357157362,700013603-700015415
7.526837881320583e-05,0.8793868355634238,700013603-700016000
3.142173944465218e-05,1.0977299857782346,700013603-700016716
0.013838685704346727,0.12644715800396755,700013603-700021123
0.008154335094761924,0.12425749298991315,700013603-700021824
0.013694862529755977,0.12612326123486797,700013603-700023113
4.394735107341405e-05,0.6147859177252329,700013603-700023337
0.008355899904718921,0.13010233513694025,700013603-700023872
0.013308050990981295,0.12399593858933766,700013603-700024024
0.01352896943501861,0.1254486466637856,700013603-700024141
0.008012283816829587,0.12867082791466408,700013603-700024234
0.013511754527993396,0.12642678770381485,700013603-700024711
0.013407665328437061,0.1256163947278222,700013603-700033435
0.008101447496388341,0.12378186447676735,700013603-700033502
0.013435566896080131,0.1227894250501795,700013603-700034166
3.146068829693856e-05,1.0974967466695131,700013603-700034926
0.013481110291066547,0.12533567993124278,700013603-700035533
0.013802535107824391,0.1250484710280824,700013603-700035861
0.013739840481336823,0.12822661664826907,700013603-700037303
0.013633587737444726,0.12484407494594528,700013603-700037632
0.013773018618374199,0.1199727200989145,700013603-700038053
0.00834239660017477,0.1269554871470724,700013603-700095410
0.007956055862472992,0.1269930807034692,700013603-700095486
0.013592190025014942,0.12725256285157974,700013603-700095647
0.008570728920088156,0.13483836653626083,700013603-700095717
0.013865752859613218,0.12853379211186036,700013603-700097234
0.00848025415598509,0.13230398460536785,700013603-700097482
0.008111090501535762,0.12864705628180098,700013603-700097688
0.013438255504760573,0.12538055492022035,700013603-700098267
0.013954475345298837,0.12782311326263807,700013603-700098867
0.00809140005167405,0.12859977898685562,700013603-700102299
0.00857134748015629,0.13689364231390488,700013603-700102586
0.013970115604923105,0.1276274288649889,700013603-700105049
0.013310480171271281,0.12457154369971486,700013603-700105153
0.008084018299392438,0.12893491879803853,700013603-700105580
0.013961969592106969,0.12898450939151082,700013603-700105882
0.013480283421849848,0.12403162098933385,700013603-700105940
0.01337801140243612,0.12489355134599987,700013603-700105991
0.012787462671329028,0.1145212508293892,700013603-700106170
0.00832940436900833,0.1354523970430748,700013603-700106229
0.013374661835670721,0.12315024066323786,700013603-700107189
0.008342720471534094,0.1326047495636371,700013603-700109449
0.008517586830839844,0.13122851131342142,700013603-700111296
0.00801710483639879,0.13201488291384728,700013603-700116028
0.007948483222323936,0.13351619972483844,700013603-700124561
0.013275259341673567,0.12330575924849452,700013603-700164249
0.008172047069481273,0.12973349188167216,700013603-700167759
0.008414509343137627,0.12855669222006327,700013603-700171066
3.770703519009059e-05,0.8818901874928118,700013603-700171390
0.01341922316474265,0.12285021750475492,700013603-700171648
0.008143516918533412,0.12810210658134172,700013603-700172621
0.013542690772066145,0.12697022011088088,700013603-700173320
0.013655093463707114,0.12690015407820662,700013603-700175331
0.013757698897473296,0.12386948627701155,700013672-700014837
0.00111155220325526,0.15602927145222295,700013672-700015250
0.0008962766380091217,0.16355647584066588,700013672-700015415
0.01400063552589768,0.12605626719332685,700013672-700016000
0.013635408775805106,0.12220756562179451,700013672-700016716
0.0004318721658389117,0.1966425169002761,700013672-700021123
0.013597658075159004,0.12061648466508886,700013672-700021824
0.0005526195436759998,0.18644336056451477,700013672-700023113
0.013601246304009157,0.12248684128137048,700013672-700023337
0.013688906915432975,0.12440632404816672,700013672-700023872
0.0005976678238533043,0.21071883240260175,700013672-700024024
0.0006728428562814007,0.18970585774740345,700013672-700024141
0.013972157950579723,0.12308133380653334,700013672-700024234
0.0006887030382644683,0.18312960499567757,700013672-700024711
0.001280670791148717,0.13531026575835847,700013672-700033435
0.013738735159019026,0.12264560394498944,700013672-700033502
0.0012534557520575444,0.1466763757882675,700013672-700034166
0.013928410009612386,0.1254867562813756,700013672-700034926
0.0004007939537369265,0.2234035972864134,700013672-700035533
0.0008718756463494185,0.16020349437310447,700013672-700035861
0.0006157518202766439,0.22566085708495706,700013672-700037303
0.010376602435154281,0.13324375739613778,700013672-700037632
0.01010162477940729,0.12331498354631307,700013672-700038053
0.01362707100638749,0.12161026229751608,700013672-700095410
0.01374482896987029,0.12224793326255286,700013672-700095486
0.00048280484202434986,0.27401071050289183,700013672-700095647
0.013605442176870748,0.12430112879896266,700013672-700095717
0.000937242975459536,0.13758409947854291,700013672-700097234
0.01379744861755038,0.11912077511984746,700013672-700097482
0.013927310884288849,0.12109300079942252,700013672-700097688
0.0009563856274367909,0.18753728498697048,700013672-700098267
0.0006290147341936221,0.19929248996435445,700013672-700098867
0.013867689748679989,0.12144011845074859,700013672-700102299
0.013773006819551294,0.12387102207425396,700013672-700102586
5.081833398444324e-05,0.9275272836957085,700013672-700105049
0.010549837225579022,0.12687163924772094,700013672-700105153
0.013710117109907313,0.12083230209427082,700013672-700105580
