dS,dNdS,host_pair
0.016608416856821004,0.13643295555249857,700013715-700014386
0.017441979647119115,0.12887221509346952,700013715-700014562
0.015218536071616641,0.13830631598818738,700013715-700014724
0.010877970372301142,0.14014244457967753,700013715-700014954
0.016534034287034764,0.1367548415164087,700013715-700015250
0.0155631881657216,0.1394273348670677,700013715-700015702
0.03390119350535638,0.12486281855523736,700013715-700021261
0.014385916337878684,0.13202933950955412,700013715-700021295
0.01508653765408683,0.13509510597412128,700013715-700023509
0.017491311368151886,0.1357625926162521,700013715-700024086
0.03342352379436575,0.12710952276250634,700013715-700024141
0.017074359565581593,0.13631305640620234,700013715-700024673
0.016413548122076134,0.13359707808278015,700013715-700033153
0.016688259329389273,0.1344915152799457,700013715-700033502
0.016209461815645705,0.13816428240193462,700013715-700035373
0.01551786463077835,0.1341936200867948,700013715-700037123
0.011117179819291209,0.1403804334839155,700013715-700037738
0.013464188717759467,0.1383822012071068,700013715-700037967
0.0168588038803764,0.13262889873233985,700013715-700038053
0.01707342098705715,0.1364809314172818,700013715-700038072
0.030061766781264397,0.1202309738762939,700013715-700038158
0.016247909596004972,0.13856534594585773,700013715-700038594
0.016104905059473543,0.13453365651746332,700013715-700038761
0.016190562101164825,0.13883556689106888,700013715-700097291
0.018878505221682978,0.13053363418598865,700013715-700100471
0.03155771123752099,0.12175099765090099,700013715-700101534
0.016219755277822233,0.13094974142790228,700013715-700102586
0.01579989517209248,0.1353583358463344,700013715-700103477
0.016628272129633127,0.13574425247589994,700013715-700106229
0.017187650874744335,0.1308764022123108,700013715-700106646
0.017233162067281985,0.13425776775121528,700013715-700107398
0.016885850613206323,0.14098310325843502,700013715-700111223
0.01589264251930377,0.1375705303824179,700013715-700113975
0.01658687037136658,0.13514695298848842,700013715-700114653
0.016257583796627374,0.13870797838494664,700013715-700116296
0.015616366229535704,0.13797864554750863,700013715-700116401
0.018488781638971937,0.13940532668132044,700013715-700116468
0.03317552289429056,0.12576689630614285,700013715-700117031
0.012078297081997185,0.1343983524863691,700013715-700122108
0.019170643164348328,0.13107507980743585,700013715-700122408
0.018974283614988978,0.13206477371877387,700013715-700161219
0.017161104184602805,0.1395511918764127,700013715-700161629
0.032024876081401435,0.12567322585412655,700013715-700161856
0.016529609149770783,0.13252265090578855,700013715-700161945
0.017227804493980807,0.13534567463607253,700013715-700163772
0.03369328410491683,0.12540061052712978,700013715-700163868
