dS,dNdS,host_pair
0.010976290013975277,0.16807002992639217,700013600-700013597
0.010685456205141667,0.15997247305341444,700013600-700013603
0.010514699945273319,0.1705065152089382,700013600-700013693
0.009902838934300325,0.17345635491746375,700013600-700014562
0.01022839252079981,0.1734616632959444,700013600-700014837
0.010414790712155574,0.1629582038654029,700013600-700015181
0.010640205630940284,0.15785849572618985,700013600-700015250
0.011255385529638983,0.16773208949402874,700013600-700015702
0.008637090814112592,0.17527444902797132,700013600-700016716
0.010425381680521685,0.1650744057397461,700013600-700021902
0.010348743001195707,0.1681521841831552,700013600-700024086
0.013125271694323275,0.17163260029717223,700013600-700024234
0.010886021864927875,0.16766162087732597,700013600-700024545
0.010931466965952291,0.17241182463260565,700013600-700024673
0.010466151797920471,0.16957506118581595,700013600-700032133
0.010508467352822095,0.15785973647846188,700013600-700032944
0.010689738333534307,0.15721115234543784,700013600-700033153
0.010460435638503409,0.17175481518863295,700013600-700033665
0.009638715202385689,0.1635000751701134,700013600-700034166
0.010468781973528513,0.15616500459627117,700013600-700034622
0.011120848569097338,0.1714707638207177,700013600-700035533
0.010709811102544334,0.16824608353682632,700013600-700035785
0.07754874651810585,0.14320647976843412,700013600-700037123
0.010679061263619661,0.17030716738568438,700013600-700037649
0.010217498823841634,0.17047982026279526,700013600-700038053
0.014167105956773854,0.17531825049588837,700013600-700038167
0.010806795426652025,0.16707310038170922,700013600-700038263
0.009937880611054441,0.15813347005258185,700013600-700038414
0.010186460971955644,0.16408338651373214,700013600-700038594
0.010730423364516522,0.16822653518521155,700013600-700038702
0.01055572803477181,0.16556697583323077,700013600-700038870
0.010494196298511125,0.1668098944810842,700013600-700095213
0.011229192306655767,0.1691601839168414,700013600-700095353
0.010713785395386798,0.1635054459580949,700013600-700095647
0.010339519446660715,0.17013715997482137,700013600-700096865
0.010143262360417939,0.1722247690992171,700013600-700097837
0.01152406167451303,0.17408195696887102,700013600-700097906
0.010340251796513909,0.15768145608473827,700013600-700100022
0.010982783335505241,0.16859326077456652,700013600-700100471
0.010861755358056018,0.16934427292093895,700013600-700102299
0.010520407054648172,0.16268014917707738,700013600-700102586
0.010768113526512536,0.16323310038313493,700013600-700103477
0.010644099110508514,0.16484508590991265,700013600-700106412
0.009630990386844781,0.1758486120846074,700013600-700106754
0.010370211804440638,0.161428933738384,700013600-700106836
0.01101443744073851,0.1683956562637371,700013600-700108530
0.010799433944161949,0.1741866484979535,700013600-700109449
0.011435760638313655,0.17225562118250728,700013600-700111156
0.0108048346854317,0.17368779211115695,700013600-700112755
0.010839399792007131,0.16584295736204133,700013600-700116028
0.010717782855108157,0.16182423607150415,700013600-700116358
0.01117862347985859,0.17556799527621453,700013600-700116778
0.010964795048616928,0.1708300218998849,700013600-700117031
0.00998850905765365,0.16767703394960012,700013600-700123827
0.01100138187363004,0.16367893847025966,700013600-700161219
0.014118824172464586,0.16377925697745027,700013600-700161742
0.010507071131107198,0.1697808531796453,700013600-700163699
0.07688001006896372,0.15181483035362092,700013600-700163868
0.010695599787512501,0.15827431289748053,700013600-700164159
0.014544754594861214,0.16841324120659204,700013600-700164611
