dS,dNdS,host_pair
0.015922243566967968,0.14963971476028584,700014724-700015181
0.012016616337736725,0.1455978047846582,700014724-700023267
0.011550936749211167,0.1541972103612109,700014724-700024449
0.01606852341985771,0.14927933989873432,700014724-700033665
0.011395537440994821,0.15175487402472573,700014724-700035237
0.015626678763713635,0.1492537971651315,700014724-700035785
0.015003652518747112,0.15011238024441828,700014724-700038053
0.015759649840667585,0.15119899693742264,700014724-700038414
0.0159993382843841,0.15308694210107632,700014724-700038594
0.01606908225712899,0.15029565247701748,700014724-700095287
0.015000333206109183,0.14539824755913677,700014724-700095647
0.011362069117297518,0.14639442633500913,700014724-700105613
0.015356772617855324,0.15231194198504897,700014724-700109449
0.015694103194103193,0.14826839339054956,700014724-700110419
0.015695848298835836,0.15347627333595157,700014724-700113762
0.013139596501963035,0.14912474779080712,700014724-700113810
0.012056086246936257,0.15620718461114433,700014724-700113867
0.016023408924652524,0.15314681134944302,700014724-700113975
0.014433676559660812,0.1478437083702041,700014724-700116468
0.01498966483485788,0.1540599833323126,700014724-700116505
0.0156962618190334,0.14323729032011584,700014724-700116778
0.0026115609773197323,0.15864413468174693,700014724-700117828
0.015679088379938776,0.15208864257902105,700014724-700117992
0.01607103114640803,0.15205723039793168,700014724-700119562
0.015642425395524462,0.1483310333429752,700014724-700123562
0.0039050954330088045,0.15430576428879267,700014724-700161742
0.016036669402418817,0.13891929160974503,700014724-700161945
0.014351673604016285,0.14402648861727826,700014724-700163699
0.015653756342038697,0.14956090061740246,700014724-700164159
0.015661012942497488,0.15118663636633983,700014724-700167759
0.015110980449801558,0.14726469488533886,700014724-700171648
0.01752970909286444,0.14912693212862896,700014724-700172726
0.015938776174043157,0.15350299853043062,700014724-700173023
0.015973860954801234,0.1521573776484056,700014724-700173377
0.014150753768844221,0.1428532190951105,700015181-700023267
0.015095677648864192,0.1466494012245173,700015181-700024449
0.013883058470764618,0.15213733012107877,700015181-700033665
0.015763188319043175,0.15173276855873313,700015181-700035237
0.013329049487264892,0.1510430269549935,700015181-700035785
0.006007947891927481,0.14328887728800516,700015181-700038053
0.013215155997765762,0.15158892242887076,700015181-700038414
0.014127808878255472,0.15375561713755048,700015181-700038594
0.014256975422023966,0.15729137829518208,700015181-700095287
0.013778961001582962,0.14500510416716492,700015181-700095647
0.015767331896252,0.15035868556799228,700015181-700105613
0.00920030147880552,0.14646828429701597,700015181-700109449
0.013594831536367692,0.1499054807568741,700015181-700110419
0.008801134214409258,0.1541551635661302,700015181-700113762
0.014804965820241931,0.15462179955989244,700015181-700113810
0.01595384944421644,0.1519596603766848,700015181-700113867
0.008416021611512286,0.1501022067560125,700015181-700113975
0.009978092490393019,0.1456101656498272,700015181-700116468
0.013991370730702384,0.15574991404612615,700015181-700116505
0.015278388193657328,0.14500468601733915,700015181-700116778
0.016148202558148278,0.15033085332812843,700015181-700117828
0.008044999281161643,0.14520947121425903,700015181-700117992
0.00878155238909032,0.15284330812094646,700015181-700119562
0.008043413661686174,0.14379502239536113,700015181-700123562
0.015709085739502842,0.14792494131005934,700015181-700161742
0.016659829666864634,0.14336024386719745,700015181-700161945
0.013859955698498004,0.14910997647247504,700015181-700163699
0.00823386736452416,0.14892473870912415,700015181-700164159
0.013346610065859582,0.15126129354630755,700015181-700167759
0.0043683642543732104,0.15680335080163765,700015181-700171648
0.017745490597604625,0.1507723292601598,700015181-700172726
0.014623809079021109,0.16003192362512533,700015181-700173023
0.0005825657116818845,0.22897878922565712,700015181-700173377
0.011222315960694581,0.1500170381477051,700023267-700024449
0.0157731358525931,0.1448858396526842,700023267-700033665
0.01121551520506048,0.15104519424675733,700023267-700035237
0.015772773860156256,0.14900201733343887,700023267-700035785
0.014116233668719027,0.14203344681769448,700023267-700038053
0.015362083613354805,0.1446178597875918,700023267-700038414
0.015684865171071625,0.14759135038284113,700023267-700038594
0.01569555984084751,0.1448575948562689,700023267-700095287
0.015217992928950567,0.14327360648751067,700023267-700095647
0.01089688842046604,0.14708060894703143,700023267-700105613
0.01476382711274415,0.1497076288477078,700023267-700109449
0.01520296876870444,0.14654117624329716,700023267-700110419
0.014875508322121271,0.1476793120483399,700023267-700113762
0.008390594560309286,0.14901133045458315,700023267-700113810
0.011204346513733776,0.14292201605976798,700023267-700113867
0.015231233699708975,0.14838486535624987,700023267-700113975
0.013647083681605334,0.14282632014983082,700023267-700116468
0.015171974329019434,0.1474369011114548,700023267-700116505
0.01599854998036432,0.1382731738290047,700023267-700116778
0.012599024708590903,0.14717302581564506,700023267-700117828
0.015457358151604372,0.14319798617253882,700023267-700117992
0.015806309220750166,0.1485051274912922,700023267-700119562
0.015678642232000387,0.1478382160418788,700023267-700123562
0.012138671394100556,0.14235425254018855,700023267-700161742
0.01596089044967772,0.13558935060135396,700023267-700161945
0.015493115554116973,0.14954108594047305,700023267-700163699
0.015554272133239394,0.1501612318114152,700023267-700164159
0.01592103459306311,0.14697695748509354,700023267-700167759
0.014898076332616908,0.14410160006057182,700023267-700171648
0.01714733503634322,0.14345247059886246,700023267-700172726
0.015531846696277302,0.1485021117391247,700023267-700173023
0.014934123050888433,0.15216346751148746,700023267-700173377
0.015890153737824198,0.14875202193426884,700024449-700033665
0.004098188095605675,0.16073465777438678,700024449-700035237
0.01563438530137864,0.14967970275156411,700024449-700035785
0.015275188573723005,0.1519420768926469,700024449-700038053
0.015376510784328482,0.14690183007839516,700024449-700038414
0.016297498112286,0.15374009843953584,700024449-700038594
0.016320165734970415,0.15356999394338716,700024449-700095287
0.015143828244823269,0.1491768013803035,700024449-700095647
0.00427094093994024,0.1422455211449053,700024449-700105613
0.015777811099448525,0.14941126412119388,700024449-700109449
0.015952113907970404,0.15161989429165074,700024449-700110419
0.015745756590827012,0.14980579754764384,700024449-700113762
0.012279674724567395,0.15512371983503223,700024449-700113810
0.004049345512760147,0.1592415694133658,700024449-700113867
0.015648600621945803,0.15109988176948,700024449-700113975
0.014490465414101011,0.15366949407611474,700024449-700116468
0.015333959702353902,0.15462893860118385,700024449-700116505
0.015658042994399515,0.14416453181920966,700024449-700116778
0.011668507796583825,0.15408549250411543,700024449-700117828
0.015879389326400876,0.15158565382926814,700024449-700117992
0.01593897743876355,0.1518341381926428,700024449-700119562
0.015824454056335056,0.150447485323513,700024449-700123562
0.011525999740794608,0.15652421757010263,700024449-700161742
0.016173964785113463,0.13866944193262085,700024449-700161945
0.01474670571010249,0.1477563965548081,700024449-700163699
0.015540510345443983,0.1477220489276662,700024449-700164159
0.01573058352759882,0.1514142395339374,700024449-700167759
0.015396473525964429,0.14723814165304613,700024449-700171648
0.017271528575551618,0.1501236995392808,700024449-700172726
0.016110607459716465,0.15562739259899272,700024449-700173023
0.01564980847165936,0.1547724385703064,700024449-700173377
0.016087013156180798,0.14610532620259886,700033665-700035237
0.0037750228185064734,0.16845916186636173,700033665-700035785
0.013917091185446427,0.1498036374763954,700033665-700038053
0.0029503601898065055,0.16955177269966515,700033665-700038414
0.00504617365979306,0.15206355051919412,700033665-700038594
0.0035490275313175327,0.1631023551070173,700033665-700095287
0.013677237729602701,0.15162598484975523,700033665-700095647
0.016540236406066312,0.14978008627201336,700033665-700105613
0.014453193350831147,0.15253937846262883,700033665-700109449
0.004700102453721016,0.15741346987880442,700033665-700110419
0.014673535709493165,0.15657569141862882,700033665-700113762
0.01622825687645416,0.15396786269902443,700033665-700113810
0.01602915451895044,0.14430335612729625,700033665-700113867
0.014076089016393921,0.1520804676027367,700033665-700113975
0.013752645902630783,0.15018633643916085,700033665-700116468
0.006630472180591436,0.15314645466324778,700033665-700116505
0.015370396825628213,0.1426265504086499,700033665-700116778
0.01642995810769388,0.1486753837008159,700033665-700117828
0.013638194211034705,0.1557701663325813,700033665-700117992
0.013944740103521178,0.1560417115756076,700033665-700119562
0.013781805568105964,0.15457653691443501,700033665-700123562
0.016130094147080123,0.14751996645174248,700033665-700161742
0.015547742516025493,0.14236712902276083,700033665-700161945
0.013533584403406082,0.14969253774333113,700033665-700163699
0.014265619505333489,0.1546517791516716,700033665-700164159
0.013888970523407882,0.15624367672481032,700033665-700167759
0.013412295802206202,0.15225132368948366,700033665-700171648
0.017588446967447716,0.14468706658293684,700033665-700172726
0.005495246640979175,0.16362134351779098,700033665-700173023
0.014068535280656493,0.15302767273356666,700033665-700173377
0.016134549270379796,0.15005660200073115,700035237-700035785
0.015164577029224066,0.15297750377472355,700035237-700038053
0.01601833445796023,0.14874776847081328,700035237-700038414
0.016089772913384048,0.14864631262622113,700035237-700038594
0.015921158829276583,0.14674532249567385,700035237-700095287
0.014776634335998295,0.1446748237953202,700035237-700095647
0.0016192161876950736,0.1723203480871998,700035237-700105613
0.015654047777225705,0.1496300237911954,700035237-700109449
0.016237013542858687,0.14902401699792223,700035237-700110419
0.016057933629813264,0.15266759520170145,700035237-700113762
0.011946025381121153,0.14754574427321707,700035237-700113810
0.004197926090890111,0.17024190175804274,700035237-700113867
0.015960177682537557,0.15341566394936165,700035237-700113975
0.014585743630911623,0.1488285174516348,700035237-700116468
0.015470040454071741,0.15431944740979564,700035237-700116505
0.01594583884488946,0.1463261713726083,700035237-700116778
0.011798619773571427,0.15519002931167933,700035237-700117828
0.01568379203445583,0.14778608870205928,700035237-700117992
0.015997141174072905,0.1528348095834801,700035237-700119562
0.016743594179926664,0.1593678556071996,700035237-700123562
0.011444380832260483,0.15181676474279887,700035237-700161742
0.016232978129475446,0.1373333831326969,700035237-700161945
0.014924932199684484,0.1500690236455754,700035237-700163699
0.01596400515656465,0.151040765907936,700035237-700164159
0.01591689040657951,0.15281350709729485,700035237-700167759
0.015312052285056584,0.14783492339809656,700035237-700171648
0.017358969037580774,0.15433389475045828,700035237-700172726
0.015919701477370877,0.1535666829263398,700035237-700173023
0.016220921473330617,0.15954529584671726,700035237-700173377
0.014054362975792671,0.15555799644207563,700035785-700038053
0.003922587820032396,0.17165632799845787,700035785-700038414
0.005085090708960251,0.15615569675938787,700035785-700038594
0.004184568756941993,0.17951361884581268,700035785-700095287
0.013659063141287973,0.15386538765008934,700035785-700095647
0.01566473458727577,0.14390299528816067,700035785-700105613
0.013994921842645669,0.1574841468533697,700035785-700109449
0.004900301626145326,0.16945076262559375,700035785-700110419
0.013830152017373414,0.15420831871583693,700035785-700113762
0.015391559209511458,0.15209540228593235,700035785-700113810
0.016190886843690837,0.15098861641151903,700035785-700113867
0.013805433069067148,0.15664300159594202,700035785-700113975
0.013469632479089123,0.15283471708335053,700035785-700116468
0.006600980439741785,0.16175471114330967,700035785-700116505
0.015172106621593842,0.14892254303961855,700035785-700116778
0.016506142618562834,0.15186579946775147,700035785-700117828
0.013121228613319297,0.15498103064568725,700035785-700117992
0.01338988618025506,0.15712943044362435,700035785-700119562
0.01307077576681599,0.1538307936918922,700035785-700123562
0.016116584058902417,0.1516891849219973,700035785-700161742
0.01580655926701253,0.14817745689315043,700035785-700161945
0.013356801728666962,0.1504241561356791,700035785-700163699
0.014247990815154994,0.16095393110639525,700035785-700164159
0.013663909306666052,0.15714265070370712,700035785-700167759
0.013525643706747057,0.15939399445253385,700035785-700171648
0.01776348687653359,0.1500654954687283,700035785-700172726
0.0059569970301181635,0.15579246561909638,700035785-700173023
0.013710872476322905,0.15379202435803527,700035785-700173377
0.0137769951552421,0.1511151163473689,700038053-700038414
0.014242385038883379,0.15229229899746208,700038053-700038594
0.014541934814797744,0.15737720211036815,700038053-700095287
0.013971445783490072,0.1468062569910026,700038053-700095647
0.014801860805358388,0.15000592302560845,700038053-700105613
0.00937879038090303,0.14893433548003268,700038053-700109449
0.013873542419981755,0.15126533776503476,700038053-700110419
0.009001673935570562,0.1506806581598002,700038053-700113762
0.013989003753773013,0.14725770715894274,700038053-700113810
0.014985180118559052,0.14735610746247937,700038053-700113867
0.00915032307810495,0.15529277645816178,700038053-700113975
0.010163843047492543,0.14499414726486448,700038053-700116468
0.014177661315238411,0.15562352975913055,700038053-700116505
0.015549847039000066,0.14713848217675599,700038053-700116778
0.015702804601897113,0.15465668517080505,700038053-700117828
0.008361571192043156,0.1519296994447939,700038053-700117992
0.008920032788378341,0.1493942171750017,700038053-700119562
0.008880747097827602,0.15869462984362687,700038053-700123562
0.015402565726213091,0.15234991244928853,700038053-700161742
0.01603397574549785,0.13902327119188848,700038053-700161945
0.013728890050117574,0.1450199254767001,700038053-700163699
0.009199374122183478,0.1579943155377425,700038053-700164159
0.01408981682662561,0.15813630763652445,700038053-700167759
0.003182475850718784,0.14973734549664183,700038053-700171648
0.01760168976221717,0.15194042259943505,700038053-700172726
0.014296530658659535,0.15436092373531388,700038053-700173023
0.005831982020426161,0.14357017196610922,700038053-700173377
0.004988653963908799,0.15949927521657953,700038414-700038594
0.0033751060360853583,0.16629603554018985,700038414-700095287
0.013341964918770616,0.14929248908666357,700038414-700095647
0.0158164475442173,0.14505564543515564,700038414-700105613
0.01347396421521198,0.14913952234721928,700038414-700109449
0.004522371138823748,0.16429753612916215,700038414-700110419
0.013998711591184886,0.16025369231161493,700038414-700113762
0.015261825968464085,0.14970546834685,700038414-700113810
0.015603770761633997,0.14568819678549266,700038414-700113867
0.013937470052707235,0.15840173336594351,700038414-700113975
0.013755955058949691,0.15594583492609262,700038414-700116468
0.006721782890007189,0.15724154593579434,700038414-700116505
0.014730122262407974,0.1416212453803745,700038414-700116778
0.016289202260591277,0.1529885595497699,700038414-700117828
0.012634102191043687,0.15161322278045428,700038414-700117992
0.012956479287902794,0.1535011462434617,700038414-700119562
0.013013066963697556,0.15351357634817697,700038414-700123562
0.01576716120899882,0.14958776848523075,700038414-700161742
0.015348776043134381,0.14685608054285904,700038414-700161945
0.013425258462410508,0.1498003745021587,700038414-700163699
0.013479263366384319,0.15342949051474114,700038414-700164159
0.013457041562947877,0.15185528637605708,700038414-700167759
0.013124855070063272,0.15561848946533638,700038414-700171648
0.017623398807040835,0.15097265325878845,700038414-700172726
0.005559772067416001,0.15262271692530277,700038414-700173023
0.013948864146807453,0.1588285277215886,700038414-700173377
0.005693910211415897,0.15955674469095762,700038594-700095287
0.013974019718698695,0.15300653276837858,700038594-700095647
0.01627133413209776,0.14851343994508276,700038594-700105613
0.013821896266195361,0.1533693165696353,700038594-700109449
0.002826959832871557,0.1582572267825785,700038594-700110419
0.014013579308674556,0.16103758372922714,700038594-700113762
0.015780201552415597,0.15537118693285554,700038594-700113810
0.0157674386257737,0.1443754031807601,700038594-700113867
0.013677477512568755,0.15870020231083143,700038594-700113975
0.013508403176585434,0.153214529852465,700038594-700116468
0.007484046285262442,0.1538345024041204,700038594-700116505
0.015915990283454882,0.14743412203101203,700038594-700116778
0.016222105195698996,0.15127201409757587,700038594-700117828
0.012466769479327311,0.14956307773168268,700038594-700117992
0.013125558378954575,0.1580326378438851,700038594-700119562
0.013453214194309369,0.1616813527580335,700038594-700123562
0.016124554666173137,0.15239512978424913,700038594-700161742
0.015923634009365074,0.1463770835600776,700038594-700161945
0.014087852599537248,0.15279022106128062,700038594-700163699
0.013611457802801766,0.15838975507488828,700038594-700164159
0.013666271562949594,0.15294177041614487,700038594-700167759
0.013704838503766118,0.15413893117265243,700038594-700171648
0.017840702750323643,0.15302177871697675,700038594-700172726
0.006706013843408695,0.1545970281270312,700038594-700173023
0.014143240649298262,0.15430679087966462,700038594-700173377
0.014033187546723332,0.15250668033262796,700095287-700095647
0.016602577208425638,0.15049334658536864,700095287-700105613
0.013901566857324701,0.15170190998007735,700095287-700109449
0.005129256673828607,0.1536877681064774,700095287-700110419
0.014328551565475226,0.1579935634690692,700095287-700113762
0.015561943568418408,0.1485537992478395,700095287-700113810
0.01650346449969164,0.1512361300625256,700095287-700113867
0.013963845806102345,0.15569491577901873,700095287-700113975
0.013406369935877467,0.14894874483803539,700095287-700116468
0.0071989419229545795,0.15752503205050453,700095287-700116505
0.015526589703448834,0.14778329484125385,700095287-700116778
0.016581764530001705,0.15230449717215774,700095287-700117828
0.012931948272206912,0.1516044097493687,700095287-700117992
0.01364555067948589,0.15927623004903887,700095287-700119562
0.013438962387090112,0.1561766044018152,700095287-700123562
0.01616367752651672,0.15103451227413495,700095287-700161742
0.0152871318213241,0.14046529263594945,700095287-700161945
0.013774331418762015,0.14955010625815862,700095287-700163699
0.014007677284665634,0.15675684749569882,700095287-700164159
0.014061408056989562,0.15427119058963146,700095287-700167759
0.013167655786350149,0.1527720104329317,700095287-700171648
0.017878497797144097,0.14987441484901112,700095287-700172726
0.0059828099544969385,0.15289224815174932,700095287-700173023
0.013934462822830868,0.15415127427991165,700095287-700173377
0.01498558740813069,0.14379382826543322,700095647-700105613
0.01363236331209894,0.14644406203410348,700095647-700109449
0.0135518244250556,0.1509871563828428,700095647-700110419
