dS,dNdS,host_pair
0.02816737473083862,0.07729521932138739,700013603-700015250
0.025023651214539835,0.08205552451255975,700013603-700015857
0.02861508542853174,0.0818481531439267,700013603-700015981
0.028775003088919702,0.08342704982569066,700013603-700016000
0.02959285822031458,0.08349550509081889,700013603-700016142
0.0268017474739353,0.08531218034381607,700013603-700016610
0.02963355642435889,0.07604891528969278,700013603-700016902
0.03209805295629114,0.08391522766904046,700013603-700021123
0.028609886774525587,0.08542326245463738,700013603-700023188
0.029614862327005866,0.0852991893189391,700013603-700024545
0.03113323275193525,0.08372796372247587,700013603-700024789
0.026611447679543324,0.08337600674764399,700013603-700024930
0.010121644240020032,0.08855684918226657,700013603-700024998
0.02869498993635424,0.08842738453399414,700013603-700032222
0.029133462755053557,0.08073598753570159,700013603-700033363
0.028209405892815287,0.08331094263374743,700013603-700033435
0.024016763378465505,0.08922594602615135,700013603-700033502
0.029380449871292066,0.08976790442196642,700013603-700033922
0.028282555944998653,0.0794095403867732,700013603-700034254
0.02999611521172096,0.08179557912975415,700013603-700034838
0.026594333225226287,0.08146747098392645,700013603-700035533
0.004797116429461186,0.09770001001558261,700013603-700035785
0.030683403068340307,0.05717214057467323,700013603-700037090
0.02890481391693529,0.08699380996075157,700013603-700038072
0.027707987338358244,0.09339335525988314,700013603-700038594
0.026155900062665178,0.09175516906124541,700013603-700038761
0.0276323327604354,0.08214521978874949,700013603-700095524
0.02844988755520633,0.07782219731524127,700013603-700096047
0.006199157751562868,0.09075431813627227,700013603-700096700
0.029203906323059865,0.07558437678409337,700013603-700097291
0.026923580690698994,0.07705271140744772,700013603-700101366
0.02822270086808955,0.08127794900764708,700013603-700102043
0.03025620422165219,0.08277797007218607,700013603-700103477
0.028932620878404796,0.0835230012931361,700013603-700103479
0.007257487478278647,0.10083877328991624,700013603-700105153
0.026174224895881535,0.08746360407451313,700013603-700105306
0.005392081343398552,0.09686786686582768,700013603-700105940
0.02765211339240303,0.08407164515846319,700013603-700106325
0.026545730207072654,0.0899579509788907,700013603-700106412
0.023909031697785497,0.08497854711049417,700013603-700106836
0.028711082477836446,0.07651817855764993,700013603-700106876
0.027751170710940826,0.08771006586896635,700013603-700108840
0.028077245132928617,0.08664551553359873,700013603-700111223
0.005156037991858887,0.09060932071235163,700013603-700111296
0.030651028940652657,0.07827615359541906,700013603-700111505
0.008563543036962521,0.08117991787217375,700013603-700113705
0.027955567310235387,0.08251067679923994,700013603-700113867
0.027708580334900822,0.08521736495140485,700013603-700116730
0.035036496350364967,0.06068519580247374,700013603-700116778
0.027923771313941824,0.0837119069990741,700013603-700117682
0.03036901051672857,0.08744624134662164,700013603-700117766
0.027398792216506374,0.07735871711947498,700013603-700122042
0.02876308819525236,0.08076108466244318,700013603-700122765
0.02820699511905725,0.0784303205322303,700013603-700161429
0.02714470006450226,0.0797007323906102,700013603-700161743
0.029604350479995562,0.07454015115684094,700013603-700161856
0.003618295324245127,0.09584399570302132,700013603-700165530
0.026360880453407145,0.082465985873027,700013603-700166862
0.02738399462004035,0.08396799577812039,700013603-700171441
0.03250075233222991,0.039971064535021764,700013603-700172132
0.027762851513523194,0.07876584768180053,700013603-700172221
0.0071426313959735786,0.0743464703471501,700013603-700172726
0.024705305248762504,0.0743298118783418,700015250-700015857
0.030205328355676225,0.08045199342817883,700015250-700015981
0.029418126757516764,0.0831749872635316,700015250-700016000
0.029640278967331457,0.0787937453321366,700015250-700016142
0.02296463154199456,0.08525011527298343,700015250-700016610
0.02950638157796298,0.07551564914281904,700015250-700016902
0.027850599882799247,0.07807378658643874,700015250-700021123
0.025305654048169018,0.08207077727592761,700015250-700023188
0.029783132530120483,0.08346532196874926,700015250-700024545
0.03213193327657428,0.08113677500686638,700015250-700024789
0.02325617355538031,0.08322382417021085,700015250-700024930
0.025880640033279355,0.07914778271433033,700015250-700024998
0.025528712275156167,0.08522464264121134,700015250-700032222
0.02974100914528498,0.08146810871391873,700015250-700033363
0.028233779371867385,0.07860056552002485,700015250-700033435
0.02506631299734748,0.08679682489545039,700015250-700033502
0.025455580012877527,0.08122853241450634,700015250-700033922
0.027314661280110945,0.0766149028667238,700015250-700034254
0.030318420364128847,0.07723858959395968,700015250-700034838
0.027515723270440252,0.08463303211969499,700015250-700035533
0.026890401243416982,0.07906324993453621,700015250-700035785
0.024334100624794474,0.0670745776420446,700015250-700037090
0.025803815111578147,0.08495807182689132,700015250-700038072
0.023747113524308805,0.08899727414393932,700015250-700038594
0.02526061338570781,0.08201830275120148,700015250-700038761
0.026325119659634817,0.08427223638719518,700015250-700095524
0.029584266410736866,0.0807794793938846,700015250-700096047
0.026216555934638175,0.0788481457620266,700015250-700096700
0.029974191406191043,0.07741336766280467,700015250-700097291
0.027518155469436936,0.07915783092208359,700015250-700101366
0.02656726728455472,0.08030713477226877,700015250-700102043
0.02708233849512245,0.08414687261338816,700015250-700103477
0.026909494206578524,0.08141240375603384,700015250-700103479
0.027528911146169545,0.08029587932753211,700015250-700105153
0.02496368773044325,0.08392934324262608,700015250-700105306
0.026380296486518035,0.07913250544183231,700015250-700105940
0.02609392626016743,0.08653461319407264,700015250-700106325
0.024082602446393476,0.08297798909559297,700015250-700106412
0.023042985750909198,0.08407793348798077,700015250-700106836
0.02902902902902903,0.07509004264666333,700015250-700106876
0.024811696942844484,0.08684826557818018,700015250-700108840
0.025594938529009993,0.08614955576265633,700015250-700111223
0.025471482018782927,0.08351193954545715,700015250-700111296
0.03022952609077954,0.08449835617470482,700015250-700111505
0.027132405554987662,0.07962602783220073,700015250-700113705
0.026805790285840254,0.0864987230646848,700015250-700113867
0.02447371150057036,0.08562133687881875,700015250-700116730
0.031113058720420684,0.09029216788047903,700015250-700116778
0.025871916212968596,0.08357103841161656,700015250-700117682
0.03121402072406294,0.08522380969687231,700015250-700117766
0.02921458205164608,0.07753975709188173,700015250-700122042
0.027864981247395473,0.0843035832538362,700015250-700122765
0.02878579542057751,0.07990563530180599,700015250-700161429
0.025316074653822997,0.08099392053696759,700015250-700161743
0.029984679360910482,0.07599251763187753,700015250-700161856
0.02676786105232431,0.07896579829866156,700015250-700165530
0.026718119421451084,0.08037884585674078,700015250-700166862
0.025543396792085143,0.08711294381064734,700015250-700171441
0.026244952893674293,0.06878523797336396,700015250-700172132
0.02518195996880686,0.07163028144240517,700015250-700172221
0.026323661381992224,0.07787779409547481,700015250-700172726
0.02950429385256356,0.0823115366933567,700015857-700015981
0.02995467011495886,0.08013706331752318,700015857-700016000
0.029871756971718965,0.07958261058945365,700015857-700016142
0.022423774081153997,0.08759771158121361,700015857-700016610
0.029078627620577453,0.07656315146928723,700015857-700016902
0.02868020304568528,0.08019339276664295,700015857-700021123
0.023787740164684355,0.08606766582597128,700015857-700023188
0.032442944911820606,0.08975102347169808,700015857-700024545
0.03051053133396897,0.08405341961023736,700015857-700024789
0.021819416733879528,0.08437445342010673,700015857-700024930
0.023634560791078632,0.07996250078376646,700015857-700024998
0.023116131698581073,0.08691941778852705,700015857-700032222
0.031750035028723554,0.07830486712290596,700015857-700033363
0.02817455854234619,0.08053705926705737,700015857-700033435
0.024348253812100346,0.08091472514093812,700015857-700033502
0.023712071600087318,0.08367513047882248,700015857-700033922
0.028693259972489685,0.07432877449731766,700015857-700034254
0.03094661921708185,0.08354117752277893,700015857-700034838
0.027436453439344657,0.0834566245381061,700015857-700035533
0.022496351570889667,0.08555893289823738,700015857-700035785
0.02609308885754584,0.0456051834634818,700015857-700037090
0.023366566382904092,0.08525362932798405,700015857-700038072
0.020892552586696988,0.08718523049155977,700015857-700038594
0.022500138037656672,0.08708962440387398,700015857-700038761
0.023933430910175097,0.08547102214448692,700015857-700095524
0.030811700080863286,0.08256328409921161,700015857-700096047
0.024025751660845147,0.08168730925589684,700015857-700096700
0.02970461334218387,0.07697629449626864,700015857-700097291
0.02918302347974224,0.07517854332472051,700015857-700101366
0.02487887564566288,0.08571036145532761,700015857-700102043
0.02767452756520381,0.08217408872699389,700015857-700103477
0.023518432104526366,0.08152929125109867,700015857-700103479
0.02599131847354265,0.07934753122460896,700015857-700105153
0.023021750880114523,0.08914352965715817,700015857-700105306
0.024562390346471667,0.0794942389140345,700015857-700105940
0.022548036532155345,0.08369134687334649,700015857-700106325
0.020710059171597635,0.08240192712384134,700015857-700106412
0.02060113905768864,0.0859488950556981,700015857-700106836
0.02817992682401894,0.07971281815235179,700015857-700106876
0.02424143821687139,0.08846564888634745,700015857-700108840
0.0229269650264389,0.08495387777291454,700015857-700111223
0.021991344432383663,0.08042880725106812,700015857-700111296
0.030008752552827908,0.08157863317963483,700015857-700111505
0.025788965221124945,0.07716675305354254,700015857-700113705
0.024003750586029066,0.08585178403955665,700015857-700113867
0.02295494180151681,0.08160207219607334,700015857-700116730
0.0306420233463035,0.05320104834372857,700015857-700116778
0.024078744000650777,0.08749022509818474,700015857-700117682
0.030497451221655827,0.08381072642008291,700015857-700117766
0.029155529870692767,0.07439213618656076,700015857-700122042
0.024353704912995044,0.08022380618720112,700015857-700122765
0.02924481050698425,0.08631791630130294,700015857-700161429
0.024011608805169202,0.07792675852399425,700015857-700161743
0.029199372056514912,0.07849098734096728,700015857-700161856
0.022792635398467948,0.07991826774979045,700015857-700165530
0.02447377326565144,0.0821865152216325,700015857-700166862
0.021484137184603937,0.08484663483936777,700015857-700171441
0.04142614601018676,0.04842062346781108,700015857-700172132
0.024846039498832025,0.07739193452240652,700015857-700172221
0.024297198618137762,0.07493978002012534,700015857-700172726
0.029070274989087735,0.0829348910667689,700015981-700016000
0.02821131051210603,0.08342027649439795,700015981-700016142
0.03154305200341006,0.08656293304411168,700015981-700016610
0.02882571355687197,0.07585568101724599,700015981-700016902
0.032,0.08530888065026261,700015981-700021123
0.029072779979553827,0.09092476492200625,700015981-700023188
0.028395928920506346,0.08554042269160872,700015981-700024545
0.03076877648344185,0.08264538438945597,700015981-700024789
0.028414916366405953,0.0924687222509261,700015981-700024930
0.028774547758147393,0.08586527610141924,700015981-700024998
0.02927554462805192,0.08629672942092301,700015981-700032222
0.029600992469922968,0.07852463843748295,700015981-700033363
0.02637375210961412,0.08771966110492978,700015981-700033435
0.025702507151270402,0.0976160855209457,700015981-700033502
0.02945491318776795,0.08702222954335394,700015981-700033922
0.0286585453139986,0.08248747303992038,700015981-700034254
0.028444626719200856,0.07936071442296488,700015981-700034838
0.024567676705403656,0.08233623305796393,700015981-700035533
0.02672104032396053,0.0806340159430165,700015981-700035785
0.03609831029185868,0.05640027693056153,700015981-700037090
0.03020977441486208,0.09054778508549187,700015981-700038072
0.028558705655336202,0.0917369199835509,700015981-700038594
0.028589993502274202,0.09215382757782141,700015981-700038761
0.029785544082605243,0.09086967808106414,700015981-700095524
0.028577626726444427,0.08293834933823152,700015981-700096047
0.027856501986698378,0.07930327215717647,700015981-700096700
0.028681837698583082,0.07643989704389839,700015981-700097291
0.027821891033471782,0.07979438490055961,700015981-700101366
0.030559703054574887,0.09317888033201734,700015981-700102043
0.029762383564729163,0.07939165978553177,700015981-700103477
0.030479643056330174,0.09126810335590912,700015981-700103479
0.027860779105799025,0.08437630926879212,700015981-700105153
0.027852364265234606,0.09133015930861849,700015981-700105306
0.027577954333579152,0.08578474728303681,700015981-700105940
0.03043711072908153,0.0955530562019918,700015981-700106325
0.03222555046066921,0.0868610191840134,700015981-700106412
0.03155444434865075,0.08728947041736575,700015981-700106836
0.029153489740383908,0.07821989532928797,700015981-700106876
0.030130603600423578,0.0929757523531217,700015981-700108840
0.030688111146758918,0.08987341009530903,700015981-700111223
0.025493575908570765,0.08576917919541353,700015981-700111296
0.028630150768213635,0.07832031609967646,700015981-700111505
0.028654011839582,0.08481137923931456,700015981-700113705
0.030210545561947088,0.0906088374807821,700015981-700113867
0.03214813131886857,0.085969531652003,700015981-700116730
0.04304093567251462,0.07152315087774193,700015981-700116778
0.029854554733350344,0.0899704764033845,700015981-700117682
0.02780068676993207,0.08537513429686518,700015981-700117766
0.026867132245006895,0.07694838347543466,700015981-700122042
0.02860055805966946,0.08539512293046575,700015981-700122765
0.026086212795073553,0.08262001918682685,700015981-700161429
0.029813522152306964,0.08403270744556798,700015981-700161743
0.031100513465673867,0.07921012706340307,700015981-700161856
0.028395355011808107,0.08403560020782869,700015981-700165530
0.03130178604308599,0.09011507203472766,700015981-700166862
0.02933026388711259,0.08452808627826665,700015981-700171441
0.043704474505723206,0.05131902819253843,700015981-700172132
0.03151036273557103,0.07659097228741787,700015981-700172221
0.028682209918558778,0.08956678785532772,700015981-700172726
0.02893909229925849,0.07877501834781168,700016000-700016142
0.03086675328012792,0.08894886328170475,700016000-700016610
0.030714990833450855,0.07981079939219965,700016000-700016902
0.030073890917454934,0.0800897511171846,700016000-700021123
0.03049651348399563,0.09011305161305501,700016000-700023188
0.024267606057868908,0.0851111170888396,700016000-700024545
0.03229601741278899,0.08129006566587427,700016000-700024789
0.02909037212049616,0.09114198225922153,700016000-700024930
0.028226149612776943,0.08500891907724845,700016000-700024998
0.030327421163078162,0.09031653349102016,700016000-700032222
0.024856812346584656,0.07939323221887411,700016000-700033363
0.02798542667614997,0.08409333529020575,700016000-700033435
0.02627334465195246,0.09332354517745489,700016000-700033502
0.030431927831225555,0.09183783492221935,700016000-700033922
0.027957050659660747,0.08055415211593277,700016000-700034254
0.028028373692464855,0.07812711016955375,700016000-700034838
0.027153121209293647,0.08433505916564106,700016000-700035533
0.029773332951256556,0.09029864285666164,700016000-700035785
0.030512168543407193,0.06079181182558674,700016000-700037090
0.03139393596880387,0.08989311494714883,700016000-700038072
0.02897252090800478,0.09310619830747867,700016000-700038594
0.02924653964209185,0.09111936803449301,700016000-700038761
0.031245140037607273,0.08726961506092216,700016000-700095524
0.028763954540883034,0.07996174506412906,700016000-700096047
0.030388932985599273,0.09133613210994541,700016000-700096700
0.029688188707682247,0.07877391144180163,700016000-700097291
0.029034145139936574,0.08312579881002251,700016000-700101366
0.031268674347179566,0.08721878229356325,700016000-700102043
0.02987337688523268,0.08049289508950337,700016000-700103477
0.03135171224302445,0.08424536233231257,700016000-700103479
0.0288714997446832,0.0830302280985661,700016000-700105153
0.030182782025157427,0.0890218405408226,700016000-700105306
0.029443596503399474,0.08712535672914118,700016000-700105940
0.029793259699801757,0.0896618458186048,700016000-700106325
0.03050694110661879,0.08795520531284554,700016000-700106412
0.029268995318689234,0.08706849018813793,700016000-700106836
0.026904124811744236,0.0793193744577856,700016000-700106876
0.03150094390127074,0.09377750716853214,700016000-700108840
0.030505560331678637,0.08961118861352436,700016000-700111223
0.02789542865488535,0.08961755260516172,700016000-700111296
0.028722232552817153,0.07819962567811233,700016000-700111505
0.02926083026215145,0.08400674940233786,700016000-700113705
0.030711789228415422,0.08589567173531881,700016000-700113867
0.03074703702656069,0.08588488501846007,700016000-700116730
0.031516404029966416,0.09150860560449779,700016000-700116778
0.03140542844962342,0.08757452032045598,700016000-700117682
0.024982999733908877,0.08019397352312573,700016000-700117766
0.029802301563883152,0.07902154920379512,700016000-700122042
0.031230992992198864,0.08557040996105313,700016000-700122765
0.02741285813917078,0.08064221400697541,700016000-700161429
0.030547014658562747,0.08490466606850361,700016000-700161743
0.030198221240481313,0.08353831189154816,700016000-700161856
0.027407551684799244,0.08311895559137043,700016000-700165530
0.03067372649260544,0.08602226815324358,700016000-700166862
0.029893663966746857,0.08912331463195844,700016000-700171441
0.030921052631578946,0.05033106570109813,700016000-700172132
0.031054622580287752,0.08277303371230954,700016000-700172221
0.029614535574800475,0.09200294705496881,700016000-700172726
0.030324341050381166,0.08477304008846114,700016142-700016610
0.029706022475688702,0.07893109025239978,700016142-700016902
0.03071598529093662,0.07579583111554583,700016142-700021123
0.031141341238727194,0.0908594186334189,700016142-700023188
0.028699578297992818,0.08634257412333908,700016142-700024545
0.02952744349867919,0.07376368736880161,700016142-700024789
0.027718207944913708,0.08674576448049377,700016142-700024930
0.029551391893030705,0.08495758521202308,700016142-700024998
0.030180282975810133,0.08819942750709964,700016142-700032222
0.03082840658166536,0.08516341382239256,700016142-700033363
0.027197794307705563,0.08569161359421747,700016142-700033435
0.025475316877918614,0.09098852254680738,700016142-700033502
0.029846523799420044,0.08320733984966469,700016142-700033922
0.030161854458431867,0.08213284718293024,700016142-700034254
0.032857597776684136,0.08138593171377902,700016142-700034838
0.02620744746220966,0.09234285808910758,700016142-700035533
0.02820021299254526,0.08357328644457103,700016142-700035785
0.03642987249544627,0.05070012034827704,700016142-700037090
0.03166559341490047,0.09029028897701642,700016142-700038072
0.02814995661318077,0.08481323409059996,700016142-700038594
0.030396621320730323,0.08691055198113126,700016142-700038761
0.029977866808617935,0.0868917002956957,700016142-700095524
0.028388604654477047,0.08544843813096817,700016142-700096047
0.028751427000972475,0.08522212771111197,700016142-700096700
0.02883596013852569,0.07949631318367856,700016142-700097291
0.02835375550944368,0.08810106547758638,700016142-700101366
0.031835205992509365,0.0884031767359195,700016142-700102043
0.03218663757140106,0.08171701516537701,700016142-700103477
0.030985954320528194,0.0854602828151938,700016142-700103479
0.030155988705211502,0.08369195244700747,700016142-700105153
0.02859965048248613,0.08650739329913888,700016142-700105306
0.029334253190755433,0.08267891086507233,700016142-700105940
0.029354920030251253,0.08723890805950048,700016142-700106325
0.031016416346489696,0.08519869822293862,700016142-700106412
0.02873415919122882,0.08194513940809414,700016142-700106836
0.02820553912498725,0.0803856692848022,700016142-700106876
0.03001242374750478,0.08898065363561815,700016142-700108840
0.030902586681342874,0.08814127318226668,700016142-700111223
0.028285805090867065,0.08693912630656675,700016142-700111296
0.028502546398664747,0.08580886534240265,700016142-700111505
0.029704338214976513,0.08161374098917613,700016142-700113705
0.03059268109700186,0.08701276642222674,700016142-700113867
0.030524499558124203,0.08301222236866142,700016142-700116730
0.03185840707964602,0.05550450123402224,700016142-700116778
0.030803822372119167,0.08733334463829201,700016142-700117682
0.029814809310068073,0.08062819833439472,700016142-700117766
0.028438385945326616,0.08581291228194114,700016142-700122042
0.02970770170175485,0.08453644081758409,700016142-700122765
0.019500355693183244,0.08029454602825858,700016142-700161429
0.0317667413563264,0.0824069018906014,700016142-700161743
0.02953518634948021,0.07735549692709492,700016142-700161856
0.029345341184620715,0.08453014603267493,700016142-700165530
0.030761507676432445,0.08586533206734813,700016142-700166862
0.02937738532820708,0.0829949832811077,700016142-700171441
0.035852372583479786,0.04353999145808773,700016142-700172132
0.030632911392405062,0.0829321086851944,700016142-700172221
0.029441453566621804,0.08655689595080407,700016142-700172726
0.030377022720688655,0.07773151126594852,700016610-700016902
0.029711181012296254,0.07696808011666155,700016610-700021123
0.018866656812287514,0.08743715831876972,700016610-700023188
0.029773672873203694,0.0874740173020672,700016610-700024545
0.02967487287342082,0.08400609330100144,700016610-700024789
0.01709039548022599,0.0867414722187773,700016610-700024930
0.024463742706078952,0.08412568993957288,700016610-700024998
0.018362473581643016,0.09558086950534113,700016610-700032222
0.03107845855281397,0.08707090482419724,700016610-700033363
0.028363966417063763,0.09130571600521814,700016610-700033435
0.024122986343936545,0.09132520465349789,700016610-700033502
0.015028177833437696,0.0834977489258555,700016610-700033922
0.029380756852735546,0.08199146901459549,700016610-700034254
0.03310696095076401,0.08792497570917716,700016610-700034838
0.028447254049782694,0.08657075318707472,700016610-700035533
