dS,dNdS,host_pair
0.0446487968900615,0.08371409549713868,700014954-700015181
0.03917488020221598,0.07696179088009471,700014954-700015250
0.049300074628553334,0.08788457592600925,700014954-700016000
0.04818983271308307,0.08583859563201142,700014954-700021295
0.0464788988160093,0.08249700015927693,700014954-700021876
0.04003554725720595,0.08007904718800467,700014954-700021902
0.04903780846728549,0.08704556900154332,700014954-700023113
0.03885448429788438,0.07636857197709013,700014954-700023267
0.03978596047331882,0.078654864798971,700014954-700023390
0.039781706503588234,0.0795627406956996,700014954-700023603
0.039043352575209404,0.07984128651399706,700014954-700023872
0.04678010023664486,0.08375968962094697,700014954-700023919
0.04739738768065231,0.08485989298274932,700014954-700024086
0.04091033578621746,0.07911880772550674,700014954-700024234
0.03787072584809501,0.07632891852051864,700014954-700024437
0.0498257004761022,0.0858388994370356,700014954-700024509
0.0414486849307693,0.08112594480448539,700014954-700032222
0.04756756756756757,0.0844601904482571,700014954-700033435
0.03792389160237429,0.07625457891183504,700014954-700033797
0.04911662702231583,0.08454590883712276,700014954-700034254
0.03983555938532242,0.07704605405175409,700014954-700035861
0.046969525831883796,0.08413012088941188,700014954-700037453
0.047853433012891626,0.0844483147822629,700014954-700037632
0.038674874772619335,0.08010087362608787,700014954-700038072
0.03865162900530082,0.07953712093162929,700014954-700038761
0.0402166754035781,0.07922066982549004,700014954-700038870
0.047940537740906654,0.08203777286504604,700014954-700095213
0.046053440572753235,0.08357331973871648,700014954-700095287
0.04591046236646824,0.08425142650790192,700014954-700097837
0.03965114188095666,0.07720913460105207,700014954-700099002
0.039330836992537914,0.07471435099830415,700014954-700099059
0.04117318613276196,0.0744209252404654,700014954-700100022
0.046399507005238066,0.08243136525756221,700014954-700102905
0.03893474675878959,0.08003359414880533,700014954-700105049
0.04638619201725998,0.08397690470575345,700014954-700105580
0.040968475817157055,0.08084310504359736,700014954-700105685
0.039924680589073294,0.08072286064203597,700014954-700105771
0.04081303436038071,0.08099742080756406,700014954-700106170
0.038919972985907055,0.07688410857661161,700014954-700106229
0.046567374795905905,0.08293688810482591,700014954-700106465
0.04726931259895028,0.08470275030910919,700014954-700106754
0.039435035310293104,0.0805331928365147,700014954-700106876
0.03931186240848157,0.0803042927830082,700014954-700109231
0.046979046585746254,0.08252911059829782,700014954-700109564
0.04682781539140387,0.08547960646498654,700014954-700110812
0.04758683621538923,0.08296465041288456,700014954-700111296
0.04631031070829926,0.08474991297993212,700014954-700114082
0.04838841437401857,0.08270518492224124,700014954-700114218
0.03820267874289338,0.07888593930596273,700014954-700116568
0.046441495778045835,0.08058408456789401,700014954-700116730
0.03926445131306444,0.08044887630780825,700014954-700116778
0.048371848977062495,0.08504442879977972,700014954-700116828
0.04833984375,0.08489651411388839,700014954-700117000
0.037688734549945854,0.0771587977626698,700014954-700119496
0.047004683290237416,0.08389481870379904,700014954-700121919
0.04756015240269831,0.08532353030334434,700014954-700122408
0.04801445518393586,0.08322721331435348,700014954-700122765
0.03889784946236559,0.07789635138611858,700014954-700161429
0.04024316765438538,0.07869076692265824,700014954-700161856
0.04947934298365584,0.0853917602436918,700014954-700163181
0.038577807236361845,0.07877322641700532,700014954-700164611
0.04856032000149359,0.08192237234124518,700014954-700165167
0.05693669369789042,0.06978043021598071,700014954-700167759
0.039204451348072676,0.07645019161740595,700014954-700171066
0.04754498796966342,0.08506147267839015,700014954-700171324
0.03799780126090956,0.07389392446294642,700014954-700171573
0.040091493615258544,0.07953962982865051,700014954-700171648
0.03928205864923591,0.07883760693332492,700014954-700171679
0.040426399487388597,0.07846954474190707,700014954-700171916
0.0470445556651673,0.08559885447487593,700014954-700172393
0.04023184452778725,0.07755132928983541,700014954-700172555
0.03999442649035199,0.0794044034065031,700014954-700173023
0.04614807007703407,0.08409548052655073,700014954-700173176
0.039013921999093114,0.07722444520957018,700014954-700175086
0.04832938544844487,0.08440935290437493,700014954-700175181
0.045991827454560916,0.08098696634606242,700015181-700015250
0.03740309465005712,0.08543209891001982,700015181-700016000
0.03824031493083863,0.08529066633124756,700015181-700021295
0.03877918389130612,0.08376710764454648,700015181-700021876
0.045173927727119215,0.08117839541700275,700015181-700021902
0.03894510886231217,0.08386319721481962,700015181-700023113
0.045682446238736914,0.08036987430428896,700015181-700023267
0.046280517337255814,0.0829589932931952,700015181-700023390
0.045153962531818324,0.0819694954375211,700015181-700023603
0.04414510476139058,0.08307114714664071,700015181-700023872
0.03952309931537618,0.0835297440260794,700015181-700023919
0.0390087051289557,0.08473653685361827,700015181-700024086
0.04677725182519558,0.08316461209336255,700015181-700024234
0.043682505399568035,0.08142027749022773,700015181-700024437
0.03927397198576769,0.08447561673451119,700015181-700024509
0.043507982909826846,0.08380982024436952,700015181-700032222
0.03717772056423831,0.08192895889563369,700015181-700033435
0.045324808253335555,0.08085429859510697,700015181-700033797
0.037706134713900406,0.08472968599004871,700015181-700034254
0.04578867527042417,0.08110940650129053,700015181-700035861
0.04026573401359318,0.08377281284619266,700015181-700037453
0.03877718691597223,0.08373893786113769,700015181-700037632
0.044870009076448863,0.08221504865206822,700015181-700038072
0.045177166241515763,0.08214491081064101,700015181-700038761
0.04647380457100239,0.08042295872585692,700015181-700038870
0.03857935184513884,0.08088425908119956,700015181-700095213
0.03945916240115907,0.08393152483755738,700015181-700095287
0.03798383743423788,0.08521049316107977,700015181-700097837
0.04622546189376443,0.08048027217809706,700015181-700099002
0.04666231691677729,0.08321544790446157,700015181-700099059
0.04803707418041608,0.08098856215224685,700015181-700100022
0.038946793479978155,0.08700906060191974,700015181-700102905
0.044550681220905726,0.08222581918267759,700015181-700105049
0.03691993604278268,0.08443424961643475,700015181-700105580
0.04569855101061516,0.08258622570560997,700015181-700105685
0.04584953843654969,0.08218797008295713,700015181-700105771
0.04555964101804338,0.08041171074707053,700015181-700106170
0.04638572305706564,0.08428316281402021,700015181-700106229
0.03913229949662536,0.08593137857427467,700015181-700106465
0.037477643488157825,0.08428426217563165,700015181-700106754
0.04455110840471212,0.0829448513370807,700015181-700106876
0.04465280817251073,0.08127477222442407,700015181-700109231
0.03707827184422258,0.08395458152213674,700015181-700109564
0.03926185873060959,0.08819510556368178,700015181-700110812
0.036628048945926146,0.08259296279760543,700015181-700111296
0.03915118359327472,0.08586521088698533,700015181-700114082
0.038593493619733396,0.08325650240992102,700015181-700114218
0.04334326373068403,0.08111978538047666,700015181-700116568
0.03942121146798879,0.08407784785682178,700015181-700116730
0.04506269416811989,0.08163482120167283,700015181-700116778
0.03927702154511854,0.0848513883687537,700015181-700116828
0.04002362286368616,0.08461582098627245,700015181-700117000
0.04475395197946721,0.08206133921528073,700015181-700119496
0.039452651864792944,0.08653666704027133,700015181-700121919
0.040841859052523265,0.08537532933060793,700015181-700122408
0.038572107657831,0.08323039601289065,700015181-700122765
0.045266306740089295,0.08129722589780959,700015181-700161429
0.046033477253675376,0.08221271054235796,700015181-700161856
0.03965233352228251,0.08465347941366821,700015181-700163181
0.044133099824868655,0.0809073232078145,700015181-700164611
