dS,dNdS,host_pair
0.05289353185871308,0.0636714825379096,700016716-700021295
0.05243832843406446,0.0637333766972485,700016716-700021306
0.057572539371654546,0.06557642529851027,700016716-700021361
0.05123143610788846,0.06424067804152697,700016716-700021876
0.05352487783959464,0.06531962841199782,700016716-700023113
0.053732567678424936,0.06450914469213713,700016716-700023603
0.05332483418416411,0.06298428385478284,700016716-700023872
0.05310755989869332,0.0647571596198238,700016716-700033153
0.05242737164270825,0.06236481461937358,700016716-700033435
0.05305961989705033,0.06273768610514885,700016716-700037284
0.053364330716602175,0.06483976803315845,700016716-700037303
0.05437030202708203,0.06432816964121792,700016716-700037868
0.051155946002764845,0.06510402819587996,700016716-700038158
0.08822564088239607,0.06460202137309329,700016716-700038167
0.05279367436983967,0.06520689855288364,700016716-700038806
0.05220668584554314,0.06477452846107082,700016716-700102586
0.05140615872486022,0.06251285358732984,700016716-700105771
0.05586694646893493,0.0641694404055888,700016716-700105787
0.051217645346643526,0.06515915017924374,700016716-700106229
0.05671454257923355,0.06452917487535775,700016716-700111296
0.04982408601210638,0.06280325088095533,700016716-700114125
0.04935761265917688,0.06265163337256392,700016716-700114653
0.08977386884526083,0.06554290921495247,700016716-700116076
0.0888693535298891,0.06430735439258094,700016716-700116248
0.08433716820813596,0.06475733429399047,700016716-700117000
0.05345013648193995,0.06457085257873722,700016716-700119042
0.054601766117969824,0.06648114572617342,700016716-700123562
0.05454672196856157,0.06463226995677783,700016716-700161945
0.05626734304543878,0.0658653513725213,700016716-700163296
0.08426062322946176,0.06511864890513991,700016716-700163772
0.056161690359936046,0.06598909027858775,700016716-700164417
0.05528943081563201,0.06573392082482514,700016716-700165530
0.053484585670047144,0.06615003646194455,700016716-700165986
0.05487507175929652,0.06583090794078986,700016716-700171066
0.05340738931427418,0.06365681744912798,700016716-700171115
0.057313581195181325,0.06548765221390249,700016716-700172221
0.09105537528591946,0.0661573129618348,700016716-700173483
0.048506172588419535,0.06519157544966588,700021295-700021306
0.05941512916990306,0.06307446489845966,700021295-700021361
0.05267950194723273,0.06293018400097056,700021295-700021876
0.04969985687124821,0.06404391219749973,700021295-700023113
0.056218057921635436,0.06352699230148809,700021295-700023603
0.05493654973949811,0.06210620141751189,700021295-700023872
0.04778632970771417,0.061272476154241695,700021295-700033153
0.053570708844579304,0.0621754160808807,700021295-700033435
0.05510658681226968,0.06286319187630755,700021295-700037284
0.01790106787774641,0.06299556014906992,700021295-700037303
0.05691861807176383,0.061483450514921205,700021295-700037868
0.05300639166104128,0.0628340721018061,700021295-700038158
0.0903737804959651,0.06473798605442671,700021295-700038167
0.05256799149620181,0.06307876674892411,700021295-700038806
0.04872740783991083,0.06310775563083987,700021295-700102586
0.05259379949183634,0.0627417945837052,700021295-700105771
0.05597719067935675,0.06168186455961339,700021295-700105787
0.054185229084072424,0.06482725902453153,700021295-700106229
0.055346505213726915,0.0652106728635178,700021295-700111296
0.047640426245581444,0.0617951528639052,700021295-700114125
0.05159197794475377,0.06169803230691466,700021295-700114653
0.09129147446405653,0.0649864062975319,700021295-700116076
0.09204766615586549,0.06608323987722807,700021295-700116248
0.0849052512900568,0.06344872484948995,700021295-700117000
0.046644061035204944,0.0640949362323825,700021295-700119042
0.04982804815664585,0.06326139241644531,700021295-700123562
0.05476027169944908,0.06390372422303778,700021295-700161945
0.055692383473924016,0.06402446225069298,700021295-700163296
0.086082818258321,0.06546902865230081,700021295-700163772
0.049681541623425515,0.06516047058901692,700021295-700164417
0.05716359398719135,0.062159683285062134,700021295-700165530
0.04926286774876642,0.06347187872838697,700021295-700165986
0.055627247456071,0.06408187569139573,700021295-700171066
0.04996976829018444,0.060296938766549305,700021295-700171115
0.057604068180482776,0.06238591700871296,700021295-700172221
0.09100487458109069,0.06543008965193574,700021295-700173483
0.055881050959560453,0.0642540952805099,700021306-700021361
0.052556586187282116,0.06568865321110642,700021306-700021876
0.046846295162278014,0.06414050861388541,700021306-700023113
0.05553912767979723,0.06515969775537007,700021306-700023603
0.05557746629003891,0.06407790720936266,700021306-700023872
0.044420515665192874,0.06375602224068216,700021306-700033153
0.051495623284362815,0.06475462990073348,700021306-700033435
0.05309564654086541,0.06223152892729529,700021306-700037284
0.048589560215425764,0.06292898905995278,700021306-700037303
0.05426524623965741,0.06481256632658998,700021306-700037868
0.05037003896128106,0.06648139636625842,700021306-700038158
0.08805410702171544,0.06470916463179187,700021306-700038167
0.051231106126154995,0.06459138925705744,700021306-700038806
0.04637334565317825,0.06444949724869321,700021306-700102586
0.050711417063517505,0.0644584643267585,700021306-700105771
0.055926416498240095,0.06425046628181105,700021306-700105787
0.052830862466455554,0.06702815470421822,700021306-700106229
0.053835444579135985,0.06605575140954259,700021306-700111296
0.04361902238707113,0.06528692169215981,700021306-700114125
0.049644760213143874,0.06264765274334659,700021306-700114653
0.0889568947478552,0.06564586144729413,700021306-700116076
0.0886576923586017,0.06561763659481337,700021306-700116248
0.08465686527637413,0.0661022958658763,700021306-700117000
0.0265405627085348,0.0663933956121161,700021306-700119042
0.0474611669494844,0.06443375049804151,700021306-700123562
0.05457722507148368,0.0659192181225993,700021306-700161945
0.054759240885773997,0.06433757064204271,700021306-700163296
0.08462829966790678,0.06746078574297368,700021306-700163772
0.047901237159938485,0.06524977899321936,700021306-700164417
0.055976351280270994,0.06194889779587108,700021306-700165530
0.04480655948153593,0.064545447513743,700021306-700165986
0.05610089332632685,0.06440705112621331,700021306-700171066
0.04469233537243613,0.06261807362711656,700021306-700171115
0.05584768415056308,0.06441436797973255,700021306-700172221
0.09016067529250725,0.06547911985241181,700021306-700173483
0.055362239512061616,0.06348766981372732,700021361-700021876
0.05666403678210953,0.0649507113618294,700021361-700023113
0.05702040922988476,0.06390888716458856,700021361-700023603
0.056687699329881366,0.06323984682301943,700021361-700023872
0.056895364784067565,0.06381477214902455,700021361-700033153
0.05807271683546454,0.06555564366300078,700021361-700033435
0.05690299621442817,0.06410173153055759,700021361-700037284
0.0579078296104429,0.06301438480961712,700021361-700037303
0.05877055189025029,0.0621363831311079,700021361-700037868
0.055808085493237354,0.06309976730847998,700021361-700038158
0.08973941809701999,0.06678048236943725,700021361-700038167
0.055170515013051376,0.0636721033877241,700021361-700038806
0.05824398094782401,0.06425470105682375,700021361-700102586
0.05620272796189881,0.06296171871643083,700021361-700105771
0.058751031406995814,0.06423729273279265,700021361-700105787
0.05753158204049366,0.06726542020173627,700021361-700106229
0.05684251304844021,0.06441529399821053,700021361-700111296
0.05720234855170883,0.06361209268316559,700021361-700114125
0.05408850646710404,0.06382950887850411,700021361-700114653
0.08797007030897246,0.06478735031254278,700021361-700116076
0.08979420796584756,0.06585256718592834,700021361-700116248
0.08615010759614118,0.06463322408949528,700021361-700117000
0.05702994965843298,0.06584042505364474,700021361-700119042
0.059019494727432426,0.06671693078218341,700021361-700123562
0.03831132395179973,0.06562763111127252,700021361-700161945
0.058173684925636765,0.06409204395130655,700021361-700163296
0.08411743534371947,0.06658836043533042,700021361-700163772
0.06003603415411129,0.06549133017268059,700021361-700164417
0.060770460308121645,0.06545957331714825,700021361-700165530
0.05822228639795371,0.06644913402724957,700021361-700165986
0.058972785790792716,0.06478900887837157,700021361-700171066
0.05637011985164145,0.06181892831383383,700021361-700171115
0.059567394917813724,0.06335600665373,700021361-700172221
0.09051718574544704,0.06616208417308961,700021361-700173483
0.052285457236555706,0.06318614155499663,700021876-700023113
0.05371627914853262,0.06731877383059083,700021876-700023603
0.05432697507357252,0.0624419230089126,700021876-700023872
0.04868093521664396,0.06554823250478206,700021876-700033153
0.05103547124507684,0.06535064050795271,700021876-700033435
0.05338914225026551,0.06569362384683383,700021876-700037284
0.05292869128449033,0.06034427994134199,700021876-700037303
0.0365161361995223,0.06695631714490302,700021876-700037868
0.03367829984388377,0.06616465686888881,700021876-700038158
0.08714666822164234,0.06489299060007059,700021876-700038167
0.02186972289123273,0.06742578496611437,700021876-700038806
0.05051959178677795,0.06566963702106701,700021876-700102586
0.050594717245291444,0.06485706356930437,700021876-700105771
0.05417213745642233,0.061966705686768445,700021876-700105787
0.05271715198663159,0.06535285669555753,700021876-700106229
0.05229948096298893,0.06382773633279926,700021876-700111296
0.05082678232583356,0.06439976833849828,700021876-700114125
0.04793421695753428,0.0637197342365234,700021876-700114653
0.08948470883954755,0.06603821445650615,700021876-700116076
0.08855644641959932,0.06615419464326067,700021876-700116248
0.08433902280934596,0.06572495521820156,700021876-700117000
0.05185021050299136,0.0660852047192283,700021876-700119042
0.05221805738470717,0.06699356901003388,700021876-700123562
0.05059059901497685,0.06421796894707728,700021876-700161945
0.05296610169491525,0.06578456991939145,700021876-700163296
0.08525224388734139,0.06854441961205754,700021876-700163772
0.05489480573199685,0.06567580560375047,700021876-700164417
0.055096233182346306,0.06461639035681271,700021876-700165530
0.0516431135980463,0.06438942485587541,700021876-700165986
0.03311569484909969,0.06606541600865228,700021876-700171066
0.05240552208779698,0.06202747165859565,700021876-700171115
0.055714285714285716,0.06425721230428993,700021876-700172221
0.0892218153464864,0.0663320364045134,700021876-700173483
0.053687269994584855,0.06654387392773918,700023113-700023603
0.055611088897774226,0.06540594141073734,700023113-700023872
0.04714532628461725,0.06377630330007693,700023113-700033153
0.053721631966910766,0.06500671932978434,700023113-700033435
0.05331893828326759,0.06345036640870073,700023113-700037284
0.048806343093880815,0.0645791143909714,700023113-700037303
0.05511393746687864,0.06276079898128574,700023113-700037868
0.05150924900380654,0.06456143105507126,700023113-700038158
0.08974368171481452,0.06524441656694376,700023113-700038167
0.05299630375032753,0.06329427635515063,700023113-700038806
0.04890170189295076,0.06360752964527143,700023113-700102586
0.054346850216968424,0.06500828540448099,700023113-700105771
0.05293043223944509,0.06324237496650448,700023113-700105787
0.053526264457436315,0.0636414757465503,700023113-700106229
0.053492700002215475,0.06326887892452689,700023113-700111296
0.04777581101424341,0.06394714594741535,700023113-700114125
0.05052016124427594,0.0619400380576375,700023113-700114653
