dS,dNdS,host_pair
0.04600647055781265,0.12116368190145083,700014562-700014724
0.023652524472750278,0.1427259877580787,700014562-700015702
0.02534435261707989,0.14177033323615798,700014562-700016610
0.022711454239792695,0.13931789435105704,700014562-700016716
0.026827517490384305,0.1427953162346691,700014562-700021295
0.03165842458495231,0.13703608377549423,700014562-700021306
0.04824065227457899,0.12159124660958921,700014562-700023113
0.0031559988464280077,0.1693091714153597,700014562-700023337
0.025809719326037643,0.13730864515966817,700014562-700023603
0.025621156965821734,0.14408736123856203,700014562-700023788
0.02665475146319802,0.14141153168306905,700014562-700024318
0.024650635083155768,0.14069277978603126,700014562-700024437
0.0022230925175082935,0.17760608988852364,700014562-700024545
0.0020473571941559206,0.16633297915674206,700014562-700024673
0.025727873002839647,0.1394030416347463,700014562-700024998
0.025980917969852652,0.14219691826757921,700014562-700033797
0.003501645032636178,0.16700350598759967,700014562-700035237
0.025497352029196278,0.14417486525286338,700014562-700035785
0.03049570622213437,0.1376577626864214,700014562-700037042
0.0018617120303831404,0.1673214947971467,700014562-700037123
0.04792847117533919,0.12099457010425516,700014562-700037868
0.0014013036370198943,0.236569068953782,700014562-700038167
0.025866270945938626,0.1409333914541602,700014562-700038594
0.0467421222874377,0.12048529021928224,700014562-700038870
0.026087600978285035,0.13820106580992766,700014562-700095486
0.026344939730766504,0.14314587838242565,700014562-700098267
0.023189709165074113,0.1428400488615589,700014562-700102043
0.02541480475122627,0.13975620631506833,700014562-700102586
0.02249300127837921,0.14935067860237614,700014562-700103477
0.026355028502834135,0.14179107735724505,700014562-700103558
0.0019646049050709353,0.19403926272013974,700014562-700103710
0.02644750863822779,0.14300977066919696,700014562-700105153
0.025243844798693765,0.13886809199779668,700014562-700105613
0.02511120292320157,0.13925347523765225,700014562-700105991
0.02527729570663246,0.14032885525024122,700014562-700106229
0.025943575437187238,0.14062355419570616,700014562-700106412
0.022817635506466958,0.14088105566111658,700014562-700107873
0.025835923569623935,0.13762185116748965,700014562-700108840
0.02546610123534452,0.1358693125404363,700014562-700110354
0.049012302750318745,0.12179101427304201,700014562-700113867
0.004983256891653839,0.1523258069109147,700014562-700116028
0.022103512075676804,0.14563250358478624,700014562-700116201
0.02591093987608746,0.13944661021740315,700014562-700116568
0.026498677307985472,0.14623173793470515,700014562-700116828
0.026835247064894853,0.14773068805975292,700014562-700117031
0.025899504584401357,0.14154777542624414,700014562-700117682
0.0017624979600718055,0.1662781237906028,700014562-700117755
0.025517026207880194,0.1425289212694872,700014562-700117992
0.026281647528760693,0.14250751185447147,700014562-700122108
0.048398592616895386,0.12113767097763103,700014562-700122408
0.0038801465833153696,0.15984893658081314,700014562-700161856
0.02591818069988715,0.1380991672801761,700014562-700161872
0.025898257650988535,0.14453452782708978,700014562-700161945
0.02586921197903776,0.13822687559718408,700014562-700163868
