dS,dNdS,host_pair
0.055332003869923194,0.08550283458335353,700013693-700014724
0.04121730911829229,0.0843383697172638,700013693-700015181
0.04409158135781063,0.08547570193186721,700013693-700015415
0.04474170988557769,0.08586482491622872,700013693-700016716
0.047258942532660275,0.08613875133131246,700013693-700021295
0.04464875514264192,0.08524033202247153,700013693-700021361
0.04407967682657342,0.08457703431346161,700013693-700021824
0.045322536360507516,0.08394048079573732,700013693-700021902
0.04483538151666981,0.08648531938005642,700013693-700023509
0.04293351992237483,0.0869045022612678,700013693-700023578
0.04261233478480155,0.08641720172307442,700013693-700023634
0.042214605078582386,0.08588658879657814,700013693-700023788
0.04505884810919981,0.0873720462550485,700013693-700024086
0.017203082155057524,0.09347247937994985,700013693-700024233
0.043125916743342665,0.08664510988451102,700013693-700024437
0.024947414006434052,0.0853068710144575,700013693-700032222
0.04522441637785996,0.0866313778346208,700013693-700033435
0.042142832365263574,0.08315992152278684,700013693-700033502
0.002065254389621714,0.14222025804942046,700013693-700033665
0.045793927327028375,0.0875734811615867,700013693-700035785
0.04492041324928438,0.08878805857815412,700013693-700035861
0.04710927400939709,0.08408387065697213,700013693-700037501
0.04775208959046355,0.08539604422743824,700013693-700038702
0.045512478854309084,0.08648981197876274,700013693-700038761
0.05495642484778543,0.07810010406590465,700013693-700096380
0.04563706263834414,0.08410862720809476,700013693-700097291
0.04524865892683228,0.08550795668711694,700013693-700097837
0.04474939413117639,0.08327779186325016,700013693-700100312
0.04324403252332427,0.08468895753810225,700013693-700100471
0.04165306471420355,0.08539414204296018,700013693-700100540
0.04418041296573999,0.0826885587763226,700013693-700101638
0.05410210021238103,0.0857574688725542,700013693-700102043
0.04218851981014394,0.085294708807298,700013693-700105049
0.04592864670510198,0.08803849561731925,700013693-700105153
0.04281752462877941,0.08290543283777468,700013693-700105372
0.04393898435991504,0.0861278214061707,700013693-700105580
0.044368154072340724,0.08504110538029468,700013693-700105613
0.04409496189800389,0.08561385523887348,700013693-700105771
0.04268440377554355,0.0847123749514924,700013693-700105940
0.045964286129036004,0.08368265939182513,700013693-700106056
0.044083607374575416,0.08632767502577625,700013693-700106198
0.041540538565389806,0.08493797889082072,700013693-700106754
0.04603493584788994,0.08357482594401208,700013693-700106836
0.04344794912584113,0.08759668620699086,700013693-700108161
0.04699724731516303,0.08491051294340758,700013693-700109449
0.04392578354842506,0.08779354627840881,700013693-700110812
0.04721717185422376,0.08360119247568343,700013693-700113705
0.046695416241310114,0.08233170739341261,700013693-700116468
0.04542386739223498,0.08738329333827229,700013693-700116568
0.04631307297360989,0.08699031504283707,700013693-700117000
0.00214850694059493,0.13810857079306824,700013693-700117172
0.043949437336210886,0.08430433314579265,700013693-700117395
0.04629894034930656,0.08619388570974444,700013693-700117537
0.043266563944530045,0.08775390990803156,700013693-700117755
0.04528237713154925,0.08529676921814992,700013693-700122165
0.04444410073583716,0.08361505416580543,700013693-700122765
0.004596176712704655,0.11481412995068213,700013693-700161429
0.04580040745771083,0.08558219553287837,700013693-700161629
0.044852625429898915,0.0834338296707931,700013693-700161856
0.04362989652623799,0.08632852256910686,700013693-700161967
0.0444252782836703,0.0872284769961606,700013693-700163419
0.04551551947397396,0.08586955734791692,700013693-700165634
0.04514142880054452,0.08547160511538335,700013693-700167107
0.05367968087445425,0.08646841695621421,700013693-700167759
0.0440130910732423,0.08181424004784565,700013693-700171441
0.04250711021018475,0.08573561478756137,700013693-700171679
0.044503035181663694,0.0852074696465677,700013693-700171727
0.04355107590901059,0.08693692625997954,700013693-700171916
0.0416839772884642,0.08506277216548305,700013693-700172221
0.045480882886919705,0.08315253351803535,700013693-700172346
0.04537085287476116,0.08438702268631161,700013693-700173483
0.05525052959232199,0.08511980912701769,700014724-700015181
0.0552921156222732,0.08858987991756019,700014724-700015415
0.05408714127185344,0.08745846241825463,700014724-700016716
0.05653472326740124,0.08738401402960186,700014724-700021295
0.05512451162240025,0.08644748105301381,700014724-700021361
0.05654568764937717,0.08573418265727192,700014724-700021824
0.05593174163846916,0.08440031021837174,700014724-700021902
0.05474380686069867,0.08395727970003942,700014724-700023509
0.05349068833591551,0.08469507535968764,700014724-700023578
