dS,dNdS,host_pair
0.03518309968544911,0.09115526685583322,700013715-700014724
0.02987210881704307,0.08965935580863232,700013715-700015181
0.03042755967473988,0.09045033046437664,700013715-700015250
0.03762195272556623,0.09564481076062491,700013715-700016456
0.038262783890276986,0.09800057512345867,700013715-700016765
0.06176873475660686,0.0793371777598836,700013715-700021361
0.033884289480596554,0.09007429975117028,700013715-700021824
0.03436048883794129,0.09644691007527255,700013715-700023509
0.03401165475108504,0.0937492546188854,700013715-700023578
0.03597139835155462,0.09765263727791956,700013715-700023788
0.034495574355714216,0.09430412476742853,700013715-700023845
0.03050625227631419,0.09229197083278345,700013715-700024086
0.03820876976692262,0.09949322926894207,700013715-700024318
0.0344417071191514,0.09171818669445649,700013715-700024615
0.035737201298827556,0.09156048711389043,700013715-700024789
0.03438534969803234,0.09249745631341895,700013715-700032222
0.03621464060302584,0.09390054730363262,700013715-700033153
0.029682467757102694,0.09041265833823964,700013715-700033435
0.037016912314066425,0.09670146117508485,700013715-700035237
0.03862813251987069,0.10174218439960395,700013715-700035785
0.03496113254097237,0.09394792616495155,700013715-700035861
0.029902058376509548,0.09050253670197406,700013715-700037123
0.03440521809236567,0.09425458552939352,700013715-700037303
0.03624851679666984,0.09646530364331514,700013715-700038072
0.03440076945235108,0.09111372580802594,700013715-700038472
0.03066123961100685,0.09222167065710596,700013715-700038761
0.03783599532528243,0.09974920142823401,700013715-700095213
0.06328996282527881,0.08089140691377533,700013715-700095486
0.03612146059719908,0.09328807379636639,700013715-700095647
0.03734968582323102,0.09771219524598486,700013715-700101366
0.06366634412211931,0.08122673354595908,700013715-700105771
0.0347722113940478,0.09498786573248405,700013715-700106065
0.03362193782856698,0.09279358584051431,700013715-700106836
0.029725002429307163,0.09018075864172007,700013715-700112433
0.03368429231904892,0.0950218093481692,700013715-700113867
0.038429934896656345,0.09842232132751164,700013715-700114082
0.06377735903754167,0.08054537012946641,700013715-700114125
0.03575787757174522,0.0987074670537012,700013715-700116568
0.03334893061160828,0.09353203868984389,700013715-700117992
0.03470532115807714,0.09373971304480093,700013715-700123562
0.037996359336437545,0.09809081534271302,700013715-700161219
0.03536577060408822,0.09119395493582799,700013715-700161945
0.030356708355637745,0.09219331001334104,700013715-700161967
0.034191941791015736,0.09250472814365425,700013715-700163296
0.037849128090542576,0.09707844639100287,700013715-700163458
0.034172163540294474,0.09272904307869594,700013715-700163699
0.030035395737945298,0.09049593886932378,700013715-700164792
0.03427138072344211,0.09181195345884134,700013715-700165778
0.03399975707518523,0.08999260941956903,700013715-700171114
0.03463758819756254,0.09276371095384195,700013715-700171115
0.03699637453095799,0.0951999242969736,700013715-700171648
0.03431222670335697,0.09307324548468997,700013715-700171859
0.03790526608268378,0.09328700050739942,700013715-700172279
0.030330842183471002,0.09150892776348277,700013715-700173023
0.034182048101943044,0.08916742940947267,700014724-700015181
0.03464291780921643,0.09011458219984235,700014724-700015250
0.03814593036149922,0.09937755372657558,700014724-700016456
0.038180262185396975,0.09808184047974781,700014724-700016765
0.06302038855678907,0.0815006234451665,700014724-700021361
0.03544773401574268,0.09384832899309223,700014724-700021824
0.03429674690262052,0.09716704404037223,700014724-700023509
0.03590116984612397,0.09716333799557003,700014724-700023578
0.036548490293176736,0.10072469787530769,700014724-700023788
0.03559647553841869,0.09469483487531932,700014724-700023845
0.03434421854529574,0.0897992772115674,700014724-700024086
0.038549544308706614,0.09924543357103913,700014724-700024318
0.01026901728117847,0.10043189380688498,700014724-700024615
0.03603813518184113,0.09485570395696005,700014724-700024789
0.034407116835362385,0.09188536372921294,700014724-700032222
0.03641324665362263,0.09647075886403941,700014724-700033153
0.035115900970628035,0.09172830936237446,700014724-700033435
0.03789145213418032,0.09604003215715792,700014724-700035237
0.03827435132745942,0.10020493021335672,700014724-700035785
0.03600078262570926,0.0956400586405485,700014724-700035861
0.03504567483784583,0.09110478881380561,700014724-700037123
0.036596789772313607,0.09599298199726454,700014724-700037303
0.0381644530377078,0.10172291660256808,700014724-700038072
0.0359301872074883,0.09568854485960351,700014724-700038472
0.035444690114642484,0.09203678096588151,700014724-700038761
0.0375798718160687,0.10071166605963747,700014724-700095213
0.06399946965428088,0.08254582131801953,700014724-700095486
0.036273125573135764,0.09764047256351845,700014724-700095647
0.03902919149641136,0.09978156002956065,700014724-700101366
0.06556321416133887,0.08460804923650468,700014724-700105771
0.035768423507462684,0.09571339940954454,700014724-700106065
0.03449514214444477,0.09735762774900987,700014724-700106836
0.03474730994833547,0.09030661587858099,700014724-700112433
0.03527367675179329,0.09859682880200862,700014724-700113867
0.03831681774264809,0.09746940230743127,700014724-700114082
0.06527744889099377,0.08329823214252235,700014724-700114125
0.036942271608548384,0.09889066643822457,700014724-700116568
0.03467909910260653,0.09754362626174572,700014724-700117992
0.03454461486108748,0.09278743529261833,700014724-700123562
0.03830452489353048,0.10091769228730431,700014724-700161219
0.033925623846975436,0.09477907304252266,700014724-700161945
0.03498774748142674,0.09218667636912281,700014724-700161967
0.035027545934181246,0.09603494135318907,700014724-700163296
0.03704494087747718,0.09592229046170905,700014724-700163458
0.034492801460094945,0.09324926645696817,700014724-700163699
0.03484874944214836,0.09065361624807955,700014724-700164792
0.035591402545848076,0.09440353758205655,700014724-700165778
0.034077122419465984,0.09566663031051648,700014724-700171114
0.03526123205637138,0.09489846794425078,700014724-700171115
0.03815555501424987,0.09759752206149397,700014724-700171648
0.03500436342480365,0.09630497626776657,700014724-700171859
0.03887823539145925,0.10054729740193917,700014724-700172279
0.03469088721337564,0.09044981552932152,700014724-700173023
0.0004944759282331212,0.0990452375244706,700015181-700015250
0.03679166398662121,0.09163827054266983,700015181-700016456
0.03660976585756254,0.09405319071842662,700015181-700016765
0.06276831579722861,0.0797700868140617,700015181-700021361
0.03263989396176581,0.09436108144553766,700015181-700021824
0.031908117070988506,0.10022487337057284,700015181-700023509
0.029484196898756972,0.09399273530254422,700015181-700023578
0.03700103079185332,0.09800624783565333,700015181-700023788
0.03370208260833337,0.09189053383112196,700015181-700023845
3.877302754338944e-05,0.5230884142938094,700015181-700024086
0.03788479789745212,0.0977870468136469,700015181-700024318
0.034795226246877635,0.09121247874970843,700015181-700024615
0.03626281526527112,0.0954782310430619,700015181-700024789
0.03162186414888221,0.09249810298731073,700015181-700032222
0.036797254343714045,0.09634832663525882,700015181-700033153
0.0008948328267477203,0.13154198579601942,700015181-700033435
0.03775034400268395,0.09701552261666622,700015181-700035237
0.03683397419964813,0.0969239983262217,700015181-700035785
0.032987387175491725,0.0914825275964589,700015181-700035861
0.0005331213771979141,0.18766932148227652,700015181-700037123
0.03283682317847602,0.09002965188881151,700015181-700037303
0.03731277833539598,0.09970381845714059,700015181-700038072
0.03175782701370827,0.09451098862658079,700015181-700038472
0.0006618423549908267,0.18285134333024486,700015181-700038761
