dS,dNdS,host_pair
0.0025310941536982514,0.08932535256503572,700013603-700013672
0.034897553522630964,0.08459228756047117,700013603-700013693
0.0019222889790041623,0.15714214100677254,700013603-700013715
0.0031269590137019015,0.1295186387414658,700013603-700014562
0.002573688472759948,0.1281452577750788,700013603-700015113
0.0043358269092257555,0.13157754822006654,700013603-700015415
0.0022834581869341994,0.1257249416195787,700013603-700015857
0.002918827749837236,0.13263336306963827,700013603-700015922
0.00430999963597976,0.13707079827686994,700013603-700016142
0.0021006360259078444,0.14651892666882327,700013603-700016210
0.003759555220362236,0.14528629320361058,700013603-700016456
0.003898329180602632,0.1446285787409413,700013603-700016542
0.004858999046196483,0.12551440577356865,700013603-700016765
0.00444984269546064,0.14671940503547337,700013603-700021295
0.05666568738267265,0.09603691332746458,700013603-700021361
0.0008962338861396657,0.11752548855706704,700013603-700021876
0.0034389473961449176,0.12411920987336016,700013603-700021902
0.060839913854989235,0.097705669926052,700013603-700023188
0.002655700866696679,0.09336876951857906,700013603-700023267
0.056943335082954884,0.09478197978810493,700013603-700023390
0.001254521802662295,0.08808899283155491,700013603-700023509
0.004374758469059652,0.1306520792740856,700013603-700023603
0.0044050404973528835,0.12545366723206786,700013603-700023720
0.0029761012324207624,0.1361152028456856,700013603-700023845
0.004585578356070159,0.12931814105326855,700013603-700023872
0.004236128633315446,0.1332235699853945,700013603-700024349
0.0029262345051818735,0.12066881903139004,700013603-700024545
0.0016245603297479665,0.09049845289335982,700013603-700024711
0.05803440952399509,0.09800049533969027,700013603-700024752
0.004383241953459844,0.1444107044184132,700013603-700024789
0.0011685874698957636,0.12257449297191265,700013603-700032068
0.001716376453460529,0.1185081812217766,700013603-700032133
0.054822060273337074,0.09849852386311723,700013603-700032222
0.004250233426704015,0.13166558364727265,700013603-700032944
0.0036795902888853843,0.13934579383494208,700013603-700033502
0.0015753828032979977,0.11135733524936862,700013603-700033797
0.004139206256308473,0.10112027860085332,700013603-700033922
0.0014525585350984806,0.12581686463527705,700013603-700033989
0.0005118342861228929,0.1426560989787387,700013603-700034254
0.0023358528741682636,0.11051269179010817,700013603-700035157
0.0030021283745939285,0.11830447580797236,700013603-700035533
0.003966990343409386,0.13529197067130155,700013603-700035861
0.0035012089292073547,0.1250634426466738,700013603-700037008
0.004156972487512812,0.12352343247526035,700013603-700037042
0.004381645026832894,0.13857974766749287,700013603-700037090
0.002062116610088738,0.10046815177954423,700013603-700037284
0.05729022294380866,0.0948055291666721,700013603-700037649
0.00439835468954206,0.13537098181002044,700013603-700037738
0.0014704392937390045,0.12664561233572702,700013603-700037757
0.001500464252553389,0.11440436663204588,700013603-700037852
0.004156443055592426,0.15378249853010384,700013603-700037967
0.0025200360613611035,0.12747471263812132,700013603-700038053
0.0021438024784981714,0.12237015941371952,700013603-700038386
0.0649355487668579,0.0881908474366139,700013603-700038493
0.004335249143959123,0.13995007929079015,700013603-700038594
0.004344666977177457,0.14300007568648404,700013603-700038761
0.0019714217408095336,0.11265381795028533,700013603-700095213
0.002720687968115446,0.14356154718188638,700013603-700095647
0.0016847215033997823,0.10317363350197434,700013603-700095717
0.001585153820613426,0.09077756245540394,700013603-700095831
0.020050304143848445,0.0999704670023026,700013603-700096047
0.004412703508883273,0.13841741847532976,700013603-700096700
0.001792901161634916,0.12507223752354593,700013603-700096865
0.003533700619515868,0.1526614493702971,700013603-700097688
0.003833058523737125,0.1277782580808307,700013603-700098669
0.0016682031695860221,0.12074951028109938,700013603-700098867
0.004395505986917959,0.13719691016449018,700013603-700099512
